補上accuracy的資料

day: 0, files: 10, accuracy: 0.844444444444, precision: 0.705882352941, recall: 0.857142857143, f1-score: 0.774193548387
day: 1, files: 8, accuracy: 0.714285714286, precision: 1.0, recall: 0.619047619048, f1-score: 0.764705882353
day: 2, files: 6, accuracy: 0.866666666667, precision: 0.833333333333, recall: 0.833333333333, f1-score: 0.833333333333
day: 3, files: 5, accuracy: 0.9, precision: 1.0, recall: 0.75, f1-score: 0.857142857143
day: 4, files: 12, accuracy: 0.909090909091, precision: 0.777777777778, recall: 1.0, f1-score: 0.875
day: 5, files: 6, accuracy: 1.0, precision: 1.0, recall: 1.0, f1-score: 1.0
day: 6, files: 6, accuracy: 0.933333333333, precision: 1.0, recall: 0.857142857143, f1-score: 0.923076923077
day: 7, files: 5, accuracy: 1.0, precision: 1.0, recall: 1.0, f1-score: 1.0
day: 8, files: 21, accuracy: 0.833333333333, precision: 0.842105263158, recall: 0.888888888889, f1-score: 0.864864864865
day: 9, files: 10, accuracy: 0.577777777778, precision: 0.904761904762, recall: 0.527777777778, f1-score: 0.666666666667
day: 10, files: 15, accuracy: 0.666666666667, precision: 0.904761904762, recall: 0.550724637681, f1-score: 0.684684684685
day: 11, files: 11, accuracy: 0.781818181818, precision: 0.913043478261, recall: 0.677419354839, f1-score: 0.777777777778
day: 12, files: 4, accuracy: 1.0, precision: 1.0, recall: 1.0, f1-score: 1.0
day: 14, files: 4, accuracy: 0.333333333333, precision: 1.0, recall: 0.333333333333, f1-score: 0.5
day: 15, files: 5, accuracy: 0.7, precision: 1.0, recall: 0.25, f1-score: 0.4
day: 16, files: 5, accuracy: 0.9, precision: 1.0, recall: 0.75, f1-score: 0.857142857143
day: 17, files: 9, accuracy: 0.777777777778, precision: 1.0, recall: 0.555555555556, f1-score: 0.714285714286
day: 18, files: 11, accuracy: 0.690909090909, precision: 0.916666666667, recall: 0.594594594595, f1-score: 0.72131147541
day: 19, files: 7, accuracy: 0.428571428571, precision: 1.0, recall: 0.2, f1-score: 0.333333333333
day: 20, files: 10, accuracy: 0.533333333333, precision: 0.75, recall: 0.413793103448, f1-score: 0.533333333333
day: 21, files: 4, accuracy: 0.5, precision: 1.0, recall: 0.5, f1-score: 0.666666666667
day: 22, files: 9, accuracy: 0.277777777778, precision: 1.0, recall: 0.277777777778, f1-score: 0.434782608696
day: 23, files: 4, accuracy: 0.833333333333, precision: 1.0, recall: 0.666666666667, f1-score: 0.8
day: 24, files: 8, accuracy: 0.75, precision: 1.0, recall: 0.461538461538, f1-score: 0.631578947368
day: 25, files: 4, accuracy: 1.0, precision: 1.0, recall: 1.0, f1-score: 1.0
day: 26, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 27, files: 5, accuracy: 1.0, precision: 1.0, recall: 1.0, f1-score: 1.0
day: 28, files: 7, accuracy: 0.380952380952, precision: 1.0, recall: 0.380952380952, f1-score: 0.551724137931
day: 29, files: 7, accuracy: 0.380952380952, precision: 1.0, recall: 0.380952380952, f1-score: 0.551724137931
day: 31, files: 8, accuracy: 0.464285714286, precision: 0.8, recall: 0.380952380952, f1-score: 0.516129032258
day: 32, files: 4, accuracy: 0.666666666667, precision: 1.0, recall: 0.333333333333, f1-score: 0.5
day: 33, files: 4, accuracy: 1.0, precision: 1.0, recall: 1.0, f1-score: 1.0
day: 34, files: 6, accuracy: 0.333333333333, precision: 1.0, recall: 0.333333333333, f1-score: 0.5
day: 35, files: 4, accuracy: 1.0, precision: 1.0, recall: 1.0, f1-score: 1.0
day: 36, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 37, files: 2, accuracy: 0.0, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 38, files: 3, accuracy: 1.0, precision: 1.0, recall: 1.0, f1-score: 1.0
day: 39, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 40, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 41, files: 2, accuracy: 1.0, precision: 1.0, recall: 1.0, f1-score: 1.0
