3個來源,9個主題,tf_idf_cre = 0.05 #設定準確率

day: 0, files: 37, accuracy: 0.857357357357, precision: 0.317647058824, recall: 0.421875, f1-score: 0.362416107383
day: 1, files: 26, accuracy: 0.723076923077, precision: 0.339622641509, recall: 0.246575342466, f1-score: 0.285714285714
day: 2, files: 20, accuracy: 0.763157894737, precision: 0.52, recall: 0.282608695652, f1-score: 0.366197183099
day: 3, files: 23, accuracy: 0.786561264822, precision: 0.348837209302, recall: 0.365853658537, f1-score: 0.357142857143
day: 4, files: 18, accuracy: 0.758169934641, precision: 0.25, recall: 0.24, f1-score: 0.244897959184
day: 5, files: 15, accuracy: 0.819047619048, precision: 0.25, recall: 0.363636363636, f1-score: 0.296296296296
day: 6, files: 11, accuracy: 0.654545454545, precision: 0.25, recall: 0.230769230769, f1-score: 0.24
day: 7, files: 19, accuracy: 0.777777777778, precision: 0.272727272727, recall: 0.391304347826, f1-score: 0.321428571429
day: 8, files: 25, accuracy: 0.523333333333, precision: 0.69387755102, recall: 0.20987654321, f1-score: 0.322274881517
day: 9, files: 22, accuracy: 0.69696969697, precision: 0.44, recall: 0.34375, f1-score: 0.385964912281
day: 10, files: 18, accuracy: 0.398692810458, precision: 0.833333333333, recall: 0.185185185185, f1-score: 0.30303030303
day: 11, files: 20, accuracy: 0.747368421053, precision: 0.571428571429, recall: 0.307692307692, f1-score: 0.4
day: 12, files: 12, accuracy: 0.833333333333, precision: 0.125, recall: 0.2, f1-score: 0.153846153846
day: 13, files: 4, accuracy: 0.833333333333, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 14, files: 12, accuracy: 0.80303030303, precision: 0.545454545455, recall: 0.428571428571, f1-score: 0.48
day: 15, files: 19, accuracy: 0.614035087719, precision: 0.636363636364, recall: 0.194444444444, f1-score: 0.297872340426
day: 16, files: 11, accuracy: 0.745454545455, precision: 0.111111111111, recall: 0.142857142857, f1-score: 0.125
day: 17, files: 14, accuracy: 0.769230769231, precision: 0.444444444444, recall: 0.2, f1-score: 0.275862068966
day: 18, files: 24, accuracy: 0.677536231884, precision: 0.470588235294, recall: 0.183908045977, f1-score: 0.264462809917
day: 19, files: 16, accuracy: 0.575, precision: 0.576923076923, recall: 0.272727272727, f1-score: 0.37037037037
day: 20, files: 17, accuracy: 0.727941176471, precision: 0.388888888889, recall: 0.212121212121, f1-score: 0.274509803922
day: 21, files: 17, accuracy: 0.794117647059, precision: 0.615384615385, recall: 0.258064516129, f1-score: 0.363636363636
day: 22, files: 30, accuracy: 0.625287356322, precision: 0.577777777778, recall: 0.152941176471, f1-score: 0.241860465116
day: 23, files: 16, accuracy: 0.675, precision: 0.263157894737, recall: 0.166666666667, f1-score: 0.204081632653
day: 24, files: 14, accuracy: 0.78021978022, precision: 0.555555555556, recall: 0.238095238095, f1-score: 0.333333333333
day: 25, files: 12, accuracy: 0.742424242424, precision: 0.636363636364, recall: 0.35, f1-score: 0.451612903226
day: 26, files: 13, accuracy: 0.628205128205, precision: 0.6, recall: 0.28125, f1-score: 0.382978723404
day: 27, files: 13, accuracy: 0.730769230769, precision: 0.777777777778, recall: 0.269230769231, f1-score: 0.4
day: 28, files: 12, accuracy: 0.606060606061, precision: 0.555555555556, recall: 0.185185185185, f1-score: 0.277777777778
day: 29, files: 13, accuracy: 0.679487179487, precision: 0.5, recall: 0.24, f1-score: 0.324324324324
day: 30, files: 5, accuracy: 0.7, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 31, files: 14, accuracy: 0.505494505495, precision: 0.533333333333, recall: 0.173913043478, f1-score: 0.262295081967
day: 32, files: 15, accuracy: 0.609523809524, precision: 0.304347826087, recall: 0.21875, f1-score: 0.254545454545
day: 33, files: 8, accuracy: 0.678571428571, precision: 0.75, recall: 0.272727272727, f1-score: 0.4
day: 34, files: 12, accuracy: 0.651515151515, precision: 0.454545454545, recall: 0.227272727273, f1-score: 0.30303030303
day: 35, files: 9, accuracy: 0.777777777778, precision: 0.25, recall: 0.166666666667, f1-score: 0.2
day: 36, files: 4, accuracy: 0.5, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 37, files: 6, accuracy: 0.666666666667, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 38, files: 4, accuracy: 0.5, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 39, files: 7, accuracy: 0.761904761905, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 40, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 41, files: 8, accuracy: 0.75, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 42, files: 6, accuracy: 0.866666666667, precision: 1.0, recall: 0.333333333333, f1-score: 0.5
day: 43, files: 2, accuracy: 1.0, precision: 1.0, recall: 1.0, f1-score: 1.0
day: 44, files: 5, accuracy: 0.4, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 45, files: 4, accuracy: 0.666666666667, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 1070, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 46, files: 5, accuracy: 0.6, precision: 0.5, recall: 0.25, f1-score: 0.333333333333
day: 47, files: 3, accuracy: 0.333333333333, precision: 0.333333333333, recall: 1.0, f1-score: 0.5
day: 48, files: 3, accuracy: 0.333333333333, precision: 0.333333333333, recall: 1.0, f1-score: 0.5
day: 49, files: 3, accuracy: 0.0, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 50, files: 5, accuracy: 0.6, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 1076, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 51, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 52, files: 3, accuracy: 0.333333333333, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 53, files: 2, accuracy: 0.0, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 54, files: 4, accuracy: 0.5, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 55, files: 3, accuracy: 0.666666666667, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 56, files: 2, accuracy: 0.0, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 57, files: 3, accuracy: 0.333333333333, precision: 0.333333333333, recall: 1.0, f1-score: 0.5
day: 58, files: 3, accuracy: 0.0, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 59, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 60, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 61, files: 2, accuracy: 0.0, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 62, files: 2, accuracy: 1.0, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 63, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 64, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 65, files: 2, accuracy: 0.0, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 66, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 69, files: 2, accuracy: 0.0, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 71, files: 2, accuracy: 0.0, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 72, files: 2, accuracy: 0.0, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 73, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 75, files: 2, accuracy: 0.0, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 76, files: 2, accuracy: 0.0, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 77, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 79, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 80, files: 2, accuracy: 1.0, precision: 1.0, recall: 1.0, f1-score: 1.0
day: 81, files: 3, accuracy: 1.0, precision: 1.0, recall: 1.0, f1-score: 1.0
day: 83, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 84, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 86, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 87, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 88, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 90, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 91, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 92, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 93, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 97, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 100, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 101, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 102, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 103, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
day: 104, files: 1, accuracy: nan, precision: 0.0, recall: 0.0, f1-score: 0.0
