ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,TASK1367,GROUP13TH80.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1368,GROUP13TH81.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1369,GROUP13TH82.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1363,GROUP13TH76.TEXT,0.18258,0.33854,0.23723,1
ROUGE-1+StopWordRemoval,TASK1364,GROUP13TH77.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1365,GROUP13TH78.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1366,GROUP13TH79.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1360,GROUP13TH73.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1361,GROUP13TH74.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1362,GROUP13TH75.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1356,GROUP13TH69.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1357,GROUP13TH70.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1358,GROUP13TH71.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1359,GROUP13TH72.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1352,GROUP13TH65.TEXT,0.19944,0.343,0.25222,1
ROUGE-1+StopWordRemoval,TASK1353,GROUP13TH66.TEXT,0.16292,0.30052,0.21129,1
ROUGE-1+StopWordRemoval,TASK1354,GROUP13TH67.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1355,GROUP13TH68.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1350,GROUP13TH63.TEXT,0.12921,0.23834,0.16758,1
ROUGE-1+StopWordRemoval,TASK1351,GROUP13TH64.TEXT,0.19944,0.343,0.25222,1
ROUGE-1+StopWordRemoval,TASK1349,GROUP13TH62.TEXT,0.16292,0.28019,0.20604,1
ROUGE-1+StopWordRemoval,TASK1345,GROUP13TH58.TEXT,0.18258,0.33163,0.23551,1
ROUGE-1+StopWordRemoval,TASK1346,GROUP13TH59.TEXT,0.13483,0.26966,0.17978,1
ROUGE-1+StopWordRemoval,TASK1347,GROUP13TH60.TEXT,0.15169,0.25592,0.19048,1
ROUGE-1+StopWordRemoval,TASK1348,GROUP13TH61.TEXT,0.16573,0.28922,0.21071,1
