,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0.15894,0.08696,0.1104,0.11141,0.195,0.14081,0.09131,0.10031,0.08075,0.0766,0.16623,0.09756,0.09746,0.21277,0.29638,0.21836,0.14058,0.1295,0.18738
1,0.11927,0.07071,0.09871,0.13055,0.20438,0.14383,0.09131,0.10628,0.07974,0.07059,0.14634,0.09756,0.09787,0.21244,0.32899,0.21772,0.15339,0.07143,0.12444
2,0.11321,0.07071,0.09091,0.14063,0.21905,0.13781,0.08555,0.11707,0.06179,0.0774,0.12857,0.12815,0.10088,0.22312,0.33295,0.25888,0.20984,0.08228,0.12558
3,0.12315,0.07122,0.10451,0.14545,0.19241,0.12664,0.08555,0.09934,0.05111,0.06635,0.14634,0.12832,0.10268,0.21833,0.33411,0.26087,0.1779,0.0836,0.17412
4,0.10687,0.06818,0.10505,0.11982,0.19474,0.11275,0.08555,0.09236,0.05882,0.08072,0.14834,0.10304,0.10268,0.22036,0.32471,0.17564,0.1573,0.14652,0.18735
5,0.06186,0.15232,0.09449,0.09112,0.17204,0.11177,0.08555,0.11702,0.06299,0.07541,0.11957,0.10304,0.11161,0.18674,0.3213,0.12389,0.13855,0.11724,0.11139
6,0.04011,0.16938,0.11048,0.09112,0.17021,0.11352,0.07645,0.12635,0.06013,0.06677,0.13143,0.13648,0.09406,0.1979,0.1087,0.17801,0.1,0.13793,0.17411
7,0.08672,0.10356,0.07281,0.26195,0.13882,0.09606,0.07645,0.10239,0.06431,0.08375,0.18231,0.13648,0.08947,0.20722,0.20593,0.13232,0.1,0.15564,0.1157
8,0.17349,0.1462,0.09313,0.16444,0.13978,0.11288,0.07645,0.1471,0.06139,0.07012,0.1452,0.12919,0.0603,0.18781,0.19003,0.15461,0.09333,0.12579,0.15751
9,0.13725,0.08442,0.08869,0.13534,0.12531,0.1271,0.07645,0.17308,0.05104,0.04276,0.15238,0.12919,0.05742,0.10075,0.18384,0.13232,0.12658,0.12255,0.15542
10,0.13889,0.12378,0.1457,0.12174,0.16625,0.13615,0.09048,0.13672,0.07261,0.07077,0.17931,0.12919,0.0566,0.14763,0.1643,0.24697,0.20209,0.10256,0.1523
11,0.10684,0.07377,0.13734,0.16102,0.17453,0.13578,0.09048,0.13559,0.06886,0.07649,0.18625,0.12815,0.07634,0.13191,0.12392,0.21818,0.24465,0.10031,0.17717
12,0.06911,0.11765,0.14988,0.18259,0.17453,0.12125,0.08555,0.10802,0.07384,0.1036,0.18357,0.13034,0.06747,0.1477,0.14103,0.19484,0.20772,0.12903,0.06957
13,0.07143,0.09772,0.08471,0.13054,0.22319,0.09797,0.07645,0.10884,0.0704,0.06959,0.16993,0.13882,0.07127,0.16564,0.14241,0.17631,0.2029,0.12186,0.18149
14,0.13274,0.1,0.09888,0.21429,0.13684,0.10885,0.09048,0.07599,0.04294,0.09581,0.20089,0.11549,0.06321,0.1374,0.13448,0.18317,0.22517,0.13841,0.13873
15,0.1153,0.09942,0.12077,0.17073,0.15309,0.11313,0.09048,0.09966,0.09337,0.08309,0.17143,0.13882,0.05306,0.1362,0.1913,0.19139,0.12209,0.12727,0.10267
16,0.13765,0.12195,0.12776,0.12178,0.17925,0.11313,0.07645,0.12041,0.06186,0.06646,0.17677,0.10444,0.05306,0.19245,0.13527,0.19185,0.21927,0.1345,0.09459
17,0.10917,0.07251,0.09722,0.1199,0.16465,0.11903,0.07645,0.14241,0.08909,0.07395,0.18913,0.10444,0.05306,0.161,0.07343,0.09828,0.19808,0.07639,0.10924
18,0.09649,0.11831,0.0916,0.17577,0.15424,0.14675,0.09048,0.13115,0.06557,0.06918,0.19022,0.10444,0.05306,0.12595,0.08471,0.15281,0.15738,0.0679,0.11335
19,0.08547,0.06061,0.08392,0.11089,0.18625,0.12601,0.07645,0.16667,0.09398,0.07658,0.18413,0.10444,0.05306,0.12022,0.10473,0.1327,0.171,0.07213,0.13303
20,0.21176,0.12174,0.1286,0.16047,0.15925,0.14132,0.09048,0.12703,0.05724,0.08194,0.17297,0.10444,0.09459,0.13865,0.1246,0.1466,0.22961,0.1673,0.10101
