,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0.18462,0.06294,0.12207,0.17647,0.27465,0.21382,0.125,0.15459,0.1215,0.09818,0.1641,0.08429,0.10748,0.18367,0.28918,0.22222,0.12022,0.12162,0.20588
1,0.14607,0.05224,0.11058,0.2,0.27451,0.22483,0.125,0.17368,0.1269,0.096,0.13636,0.08429,0.10849,0.19712,0.33575,0.22632,0.1244,0.06667,0.1697
2,0.14458,0.05224,0.10294,0.21429,0.28395,0.20968,0.11741,0.19565,0.1027,0.11574,0.11739,0.11336,0.11616,0.21392,0.33411,0.26984,0.18286,0.06989,0.18621
3,0.16892,0.05742,0.13497,0.22047,0.27737,0.19868,0.11741,0.17341,0.09554,0.10345,0.13636,0.11069,0.12105,0.20984,0.33647,0.27419,0.13693,0.07182,0.26429
4,0.15556,0.05357,0.1097,0.14773,0.30328,0.19672,0.11741,0.14721,0.11486,0.11297,0.14428,0.09283,0.12105,0.21884,0.32936,0.20946,0.12389,0.13986,0.28169
5,0.09231,0.13218,0.096,0.1105,0.2807,0.17857,0.11741,0.24812,0.09756,0.1073,0.1236,0.09283,0.13158,0.18016,0.32243,0.15672,0.11386,0.10625,0.2
6,0.07692,0.14525,0.10861,0.1105,0.27119,0.18382,0.11211,0.28455,0.09406,0.10553,0.14375,0.13613,0.13014,0.21222,0.16432,0.19209,0.08824,0.125,0.23926
7,0.14414,0.0884,0.08134,0.28251,0.20611,0.16045,0.11211,0.19355,0.10417,0.1497,0.18579,0.13613,0.13934,0.23488,0.31429,0.1383,0.08824,0.15748,0.1407
8,0.2293,0.11682,0.10881,0.19271,0.22807,0.18056,0.11211,0.22596,0.10053,0.12426,0.1308,0.11842,0.08571,0.22709,0.2891,0.15816,0.08235,0.08646,0.16475
9,0.18667,0.07222,0.10363,0.19149,0.1773,0.18639,0.11211,0.27979,0.08122,0.07303,0.13913,0.11842,0.075,0.15,0.29,0.1383,0.10753,0.08993,0.18627
10,0.17241,0.10615,0.16923,0.13861,0.23741,0.21019,0.1381,0.21717,0.125,0.10455,0.15918,0.11842,0.07229,0.19718,0.25743,0.24519,0.18471,0.0979,0.17757
11,0.11905,0.07759,0.15385,0.17757,0.22289,0.2006,0.1381,0.25157,0.10526,0.09783,0.16092,0.11336,0.11111,0.18049,0.1635,0.23333,0.20305,0.08466,0.20179
12,0.07805,0.09434,0.18935,0.20188,0.22289,0.16667,0.11741,0.18333,0.11917,0.13585,0.16964,0.11373,0.08917,0.25517,0.22798,0.23611,0.16908,0.09917,0.09143
13,0.09259,0.0838,0.10778,0.16374,0.25628,0.1465,0.11211,0.20382,0.11282,0.09957,0.14498,0.13568,0.08377,0.18243,0.22388,0.20253,0.19178,0.11409,0.1224
14,0.15464,0.0754,0.11765,0.25263,0.21311,0.17123,0.1381,0.11013,0.06306,0.13445,0.17442,0.11518,0.07568,0.21429,0.17537,0.18593,0.19767,0.12579,0.15385
15,0.13472,0.07944,0.16026,0.23026,0.21088,0.18182,0.1381,0.19205,0.13248,0.11475,0.14717,0.13568,0.05603,0.18812,0.25483,0.18779,0.09813,0.105,0.12376
16,0.14407,0.1,0.1745,0.15385,0.22892,0.18182,0.11211,0.164,0.11842,0.10396,0.1699,0.10363,0.05603,0.2931,0.22105,0.18868,0.19298,0.10849,0.13208
17,0.125,0.05911,0.12069,0.15723,0.21935,0.20866,0.11211,0.21395,0.13122,0.13333,0.17167,0.10363,0.05603,0.22167,0.14894,0.09901,0.1694,0.06962,0.13613
18,0.11111,0.09251,0.13333,0.22699,0.22901,0.2076,0.1381,0.22346,0.11111,0.1068,0.19663,0.10363,0.05603,0.19643,0.20536,0.14167,0.13714,0.0567,0.11832
19,0.09524,0.04681,0.10526,0.11336,0.21762,0.2028,0.11211,0.28177,0.12749,0.10442,0.232,0.10363,0.05603,0.17098,0.19255,0.12903,0.16547,0.06286,0.19205
20,0.26946,0.09677,0.15026,0.16206,0.20118,0.21959,0.1381,0.1748,0.10366,0.1179,0.17778,0.10363,0.1129,0.181,0.2,0.15819,0.18905,0.16541,0.11905
21,0.176,0.09179,0.09202,0.14453,0.13889,0.13978,0.1381,0.16797,0.0973,0.11732,0.21088,0.15385,0.12651,0.20442,0.16842,0.15493,0.18137,0.1466,0.12139
