,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0.13953,0.14062,0.10078,0.0814,0.15116,0.10497,0.07193,0.07425,0.06047,0.06279,0.16842,0.11579,0.08915,0.25281,0.30394,0.21463,0.16923,0.13846,0.17193
1,0.10078,0.10938,0.08915,0.0969,0.16279,0.10573,0.07193,0.07657,0.05814,0.05581,0.15789,0.11579,0.08915,0.23034,0.32251,0.20976,0.2,0.07692,0.09825
2,0.09302,0.10938,0.0814,0.10465,0.17829,0.10263,0.06729,0.08353,0.04419,0.05814,0.14211,0.14737,0.08915,0.23315,0.33179,0.24878,0.24615,0.1,0.09474
3,0.0969,0.09375,0.08527,0.10853,0.14729,0.09294,0.06729,0.06961,0.03488,0.04884,0.15789,0.15263,0.08915,0.22753,0.33179,0.24878,0.25385,0.1,0.12982
4,0.0814,0.09375,0.10078,0.10078,0.14341,0.07902,0.06729,0.06729,0.03953,0.06279,0.15263,0.11579,0.08915,0.22191,0.32019,0.15122,0.21538,0.15385,0.14035
5,0.04651,0.17969,0.09302,0.07752,0.12403,0.08134,0.06729,0.07657,0.04651,0.05814,0.11579,0.11579,0.0969,0.19382,0.32019,0.10244,0.17692,0.13077,0.07719
6,0.02713,0.20312,0.1124,0.07752,0.12403,0.08212,0.058,0.08121,0.04419,0.04884,0.12105,0.13684,0.07364,0.18539,0.08121,0.16585,0.11538,0.15385,0.13684
7,0.06202,0.125,0.06589,0.24419,0.10465,0.06855,0.058,0.06961,0.04651,0.05814,0.17895,0.13684,0.06589,0.18539,0.15313,0.12683,0.11538,0.15385,0.09825
8,0.13953,0.19531,0.0814,0.14341,0.10078,0.08211,0.058,0.10905,0.04419,0.04884,0.16316,0.14211,0.04651,0.16011,0.14153,0.15122,0.10769,0.23077,0.15088
9,0.10853,0.10156,0.07752,0.10465,0.0969,0.09642,0.058,0.12529,0.03721,0.03023,0.16842,0.14211,0.04651,0.07584,0.13457,0.12683,0.15385,0.19231,0.13333
10,0.11628,0.14844,0.12791,0.10853,0.12791,0.10068,0.06729,0.09977,0.05116,0.05349,0.20526,0.14211,0.04651,0.11798,0.12065,0.24878,0.22308,0.10769,0.13333
11,0.0969,0.07031,0.12403,0.14729,0.14341,0.10262,0.06729,0.09281,0.05116,0.06279,0.22105,0.14737,0.05814,0.10393,0.09977,0.20488,0.30769,0.12308,0.15789
12,0.06202,0.15625,0.12403,0.16667,0.14341,0.09529,0.06729,0.07657,0.05349,0.08372,0.2,0.15263,0.05426,0.10393,0.10209,0.16585,0.26923,0.18462,0.05614
13,0.05814,0.11719,0.06977,0.10853,0.19767,0.07359,0.058,0.07425,0.05116,0.05349,0.20526,0.14211,0.06202,0.15169,0.10441,0.1561,0.21538,0.13077,0.35088
14,0.11628,0.14844,0.08527,0.18605,0.10078,0.07979,0.06729,0.058,0.03256,0.07442,0.23684,0.11579,0.05426,0.10112,0.10905,0.18049,0.26154,0.15385,0.12632
15,0.10078,0.13281,0.0969,0.13566,0.12016,0.08211,0.06729,0.06729,0.07209,0.06512,0.20526,0.14211,0.05039,0.10674,0.15313,0.19512,0.16154,0.16154,0.08772
16,0.13178,0.15625,0.10078,0.10078,0.14729,0.08211,0.058,0.09513,0.04186,0.04884,0.18421,0.10526,0.05039,0.14326,0.09745,0.19512,0.25385,0.17692,0.07368
17,0.0969,0.09375,0.0814,0.0969,0.13178,0.08327,0.058,0.10673,0.06744,0.05116,0.21053,0.10526,0.05039,0.1264,0.04872,0.09756,0.23846,0.08462,0.09123
18,0.08527,0.16406,0.06977,0.14341,0.11628,0.11348,0.06729,0.09281,0.04651,0.05116,0.18421,0.10526,0.05039,0.0927,0.05336,0.16585,0.18462,0.08462,0.10877
