ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,TASK1367,GROUP16TH46.TXT,0.00000,0.00000,0.00000,1
ROUGE-1+StopWordRemoval,TASK1368,GROUP16TH47.TXT,0.00000,0.00000,0.00000,1
ROUGE-1+StopWordRemoval,TASK1369,GROUP16TH48.TXT,0.00000,0.00000,0.00000,1
ROUGE-1+StopWordRemoval,TASK1363,GROUP16TH42.TXT,0.00000,0.00000,0.00000,1
ROUGE-1+StopWordRemoval,TASK1364,GROUP16TH43.TXT,0.00000,0.00000,0.00000,1
ROUGE-1+StopWordRemoval,TASK1365,GROUP16TH44.TXT,0.00000,0.00000,0.00000,1
ROUGE-1+StopWordRemoval,TASK1366,GROUP16TH45.TXT,0.00000,0.00000,0.00000,1
ROUGE-1+StopWordRemoval,TASK1360,GROUP16TH39.TXT,0.00000,0.00000,0.00000,1
ROUGE-1+StopWordRemoval,TASK1361,GROUP16TH40.TXT,0.00000,0.00000,0.00000,1
ROUGE-1+StopWordRemoval,TASK1362,GROUP16TH41.TXT,0.00000,0.00000,0.00000,1
ROUGE-1+StopWordRemoval,TASK1356,GROUP16TH35.TXT,0.00769,0.09091,0.01418,1
ROUGE-1+StopWordRemoval,TASK1357,GROUP16TH36.TXT,0.00000,0.00000,0.00000,1
ROUGE-1+StopWordRemoval,TASK1358,GROUP16TH37.TXT,0.00000,0.00000,0.00000,1
ROUGE-1+StopWordRemoval,TASK1359,GROUP16TH38.TXT,0.00000,0.00000,0.00000,1
ROUGE-1+StopWordRemoval,TASK1352,GROUP16TH31.TXT,0.04615,0.14634,0.07018,1
ROUGE-1+StopWordRemoval,TASK1353,GROUP16TH32.TXT,0.04615,0.14634,0.07018,1
ROUGE-1+StopWordRemoval,TASK1354,GROUP16TH33.TXT,0.04615,0.14634,0.07018,1
ROUGE-1+StopWordRemoval,TASK1355,GROUP16TH34.TXT,0.00769,0.09091,0.01418,1
ROUGE-1+StopWordRemoval,TASK1350,GROUP16TH29.TXT,0.04615,0.14634,0.07018,1
ROUGE-1+StopWordRemoval,TASK1351,GROUP16TH30.TXT,0.04615,0.14634,0.07018,1
ROUGE-1+StopWordRemoval,TASK1349,GROUP16TH28.TXT,0.04615,0.14634,0.07018,1
ROUGE-1+StopWordRemoval,TASK1345,GROUP16TH24.TXT,0.10769,0.16279,0.12963,1
ROUGE-1+StopWordRemoval,TASK1346,GROUP16TH25.TXT,0.10769,0.16279,0.12963,1
ROUGE-1+StopWordRemoval,TASK1347,GROUP16TH26.TXT,0.10769,0.16279,0.12963,1
ROUGE-1+StopWordRemoval,TASK1348,GROUP16TH27.TXT,0.04615,0.14634,0.07018,1
ROUGE-1+StopWordRemoval,TASK1341,GROUP16TH20.TXT,0.49231,0.10458,0.17251,1
ROUGE-1+StopWordRemoval,TASK1342,GROUP16TH21.TXT,0.30000,0.18396,0.22807,1
ROUGE-1+StopWordRemoval,TASK1343,GROUP16TH22.TXT,0.10769,0.16279,0.12963,1
ROUGE-1+StopWordRemoval,TASK1344,GROUP16TH23.TXT,0.10769,0.16279,0.12963,1
ROUGE-1+StopWordRemoval,TASK1340,GROUP16TH19.TXT,0.52308,0.09605,0.16229,1
ROUGE-1+StopWordRemoval,TASK1338,GROUP16TH17.TXT,0.56923,0.06655,0.11916,1
ROUGE-1+StopWordRemoval,TASK1339,GROUP16TH18.TXT,0.53846,0.07576,0.13283,1
ROUGE-1+StopWordRemoval,TASK1334,GROUP16TH13.TXT,0.66923,0.04770,0.08905,1
ROUGE-1+StopWordRemoval,TASK1335,GROUP16TH14.TXT,0.62308,0.05267,0.09712,1
