ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,TASK1367,GROUP16TH46.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1368,GROUP16TH47.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1369,GROUP16TH48.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1363,GROUP16TH42.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1364,GROUP16TH43.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1365,GROUP16TH44.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1366,GROUP16TH45.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1360,GROUP16TH39.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1361,GROUP16TH40.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1362,GROUP16TH41.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1356,GROUP16TH35.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1357,GROUP16TH36.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1358,GROUP16TH37.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1359,GROUP16TH38.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1352,GROUP16TH31.TEXT,0.02308,0.3,0.04286,1
ROUGE-1+StopWordRemoval,TASK1353,GROUP16TH32.TEXT,0.02308,0.3,0.04286,1
ROUGE-1+StopWordRemoval,TASK1354,GROUP16TH33.TEXT,0.02308,0.3,0.04286,1
ROUGE-1+StopWordRemoval,TASK1355,GROUP16TH34.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1350,GROUP16TH29.TEXT,0.02308,0.3,0.04286,1
ROUGE-1+StopWordRemoval,TASK1351,GROUP16TH30.TEXT,0.02308,0.3,0.04286,1
ROUGE-1+StopWordRemoval,TASK1349,GROUP16TH28.TEXT,0.02308,0.3,0.04286,1
ROUGE-1+StopWordRemoval,TASK1345,GROUP16TH24.TEXT,0.03077,0.2,0.05333,1
ROUGE-1+StopWordRemoval,TASK1346,GROUP16TH25.TEXT,0.03077,0.2,0.05333,1
ROUGE-1+StopWordRemoval,TASK1347,GROUP16TH26.TEXT,0.03077,0.2,0.05333,1
ROUGE-1+StopWordRemoval,TASK1348,GROUP16TH27.TEXT,0.02308,0.3,0.04286,1
ROUGE-1+StopWordRemoval,TASK1341,GROUP16TH20.TEXT,0.29231,0.19689,0.23529,1
ROUGE-1+StopWordRemoval,TASK1342,GROUP16TH21.TEXT,0.15385,0.35088,0.2139,1
ROUGE-1+StopWordRemoval,TASK1343,GROUP16TH22.TEXT,0.03077,0.2,0.05333,1
ROUGE-1+StopWordRemoval,TASK1344,GROUP16TH23.TEXT,0.03077,0.2,0.05333,1
ROUGE-1+StopWordRemoval,TASK1340,GROUP16TH19.TEXT,0.30769,0.19048,0.23529,1
ROUGE-1+StopWordRemoval,TASK1338,GROUP16TH17.TEXT,0.36154,0.15615,0.2181,1
ROUGE-1+StopWordRemoval,TASK1339,GROUP16TH18.TEXT,0.32308,0.16406,0.21762,1
ROUGE-1+StopWordRemoval,TASK1334,GROUP16TH13.TEXT,0.46923,0.10893,0.17681,1
ROUGE-1+StopWordRemoval,TASK1335,GROUP16TH14.TEXT,0.46154,0.13072,0.20374,1
ROUGE-1+StopWordRemoval,TASK1336,GROUP16TH15.TEXT,0.42308,0.14323,0.21401,1
ROUGE-1+StopWordRemoval,TASK1337,GROUP16TH16.TEXT,0.39231,0.15224,0.21935,1
ROUGE-1+StopWordRemoval,TASK1330,GROUP16TH9.TEXT,0.52308,0.07861,0.13668,1
ROUGE-1+StopWordRemoval,TASK1331,GROUP16TH10.TEXT,0.50769,0.08538,0.14618,1
ROUGE-1+StopWordRemoval,TASK1332,GROUP16TH11.TEXT,0.5,0.09366,0.15777,1
ROUGE-1+StopWordRemoval,TASK1333,GROUP16TH12.TEXT,0.49231,0.09786,0.16327,1
ROUGE-1+StopWordRemoval,TASK708,GROUP9TH18.TEXT,0.03953,0.09091,0.05511,1
ROUGE-1+StopWordRemoval,TASK709,GROUP9TH19.TEXT,0.03953,0.10625,0.05763,1
ROUGE-1+StopWordRemoval,TASK706,GROUP9TH16.TEXT,0.05116,0.09205,0.06577,1
ROUGE-1+StopWordRemoval,TASK707,GROUP9TH17.TEXT,0.04419,0.10215,0.06169,1
ROUGE-1+StopWordRemoval,TASK704,GROUP9TH14.TEXT,0.04651,0.07143,0.05634,1
ROUGE-1+StopWordRemoval,TASK705,GROUP9TH15.TEXT,0.04884,0.07664,0.05966,1
ROUGE-1+StopWordRemoval,TASK702,GROUP9TH12.TEXT,0.03488,0.06494,0.04539,1
