,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0.18231,0.05556,0.15044,0.12197,0.1893,0.18868,0.1039,0.27549,0.06492,0.06944,0.09572,0.104,0.09615,0.18198,0.27044,0.20657,0.06395,0.03376,0.26772
1,0.18533,0.06444,0.15044,0.13994,0.1893,0.18868,0.1039,0.28448,0.06641,0.06944,0.09572,0.104,0.09615,0.1883,0.27183,0.20657,0.06395,0.03376,0.26772
2,0.22252,0.07557,0.15044,0.14771,0.19748,0.18868,0.1039,0.28,0.06729,0.05757,0.10758,0.07692,0.09615,0.18,0.25092,0.21374,0.06395,0.03344,0.27485
3,0.23708,0.07979,0.14554,0.17009,0.22564,0.2103,0.1039,0.29184,0.06352,0.07265,0.11082,0.07692,0.09615,0.18,0.28194,0.20812,0.06481,0.03705,0.29254
4,0.23841,0.09697,0.16505,0.18429,0.22564,0.19512,0.1039,0.28632,0.06633,0.07407,0.11978,0.07692,0.09615,0.19213,0.32558,0.21951,0.06481,0.04059,0.15414
5,0.25833,0.09764,0.18653,0.20992,0.22564,0.19394,0.1039,0.32301,0.06325,0.05919,0.13419,0.07692,0.09615,0.18182,0.29377,0.23684,0.06944,0.04525,0.1582
6,0.24638,0.08101,0.19718,0.15952,0.24161,0.23134,0.1039,0.32584,0.06859,0.06149,0.13423,0.07692,0.09615,0.21308,0.08163,0.23373,0.07276,0.04957,0.16397
7,0.24519,0.07761,0.18657,0.16763,0.24161,0.24038,0.1039,0.3275,0.06863,0.06051,0.13284,0.07692,0.09615,0.2058,0.10526,0.21131,0.07305,0.05189,0.1691
8,0.22727,0.07417,0.19643,0.17353,0.24161,0.2069,0.1039,0.31066,0.09466,0.06143,0.1284,0.07692,0.09615,0.23034,0.10526,0.23755,0.07861,0.05691,0.1757
9,0.23718,0.06313,0.18824,0.18248,0.2446,0.17333,0.1039,0.31818,0.10309,0.07942,0.14685,0.07692,0.09615,0.2095,0.10526,0.17742,0.08538,0.06333,0.19286
10,0.25,0.13068,0.21505,0.26693,0.20325,0.26866,0.09091,0.33943,0.12603,0.06272,0.14634,0.07692,0.09615,0.22699,0.10345,0.1697,0.09366,0.07123,0.35071
11,0.2551,0.13068,0.21505,0.32143,0.2446,0.26866,0.09091,0.33787,0.12202,0.06494,0.14179,0.07692,0.09615,0.2169,0.10345,0.20126,0.09786,0.07654,0.19286
12,0.24206,0.11765,0.21212,0.35507,0.20354,0.26866,0.09091,0.34066,0.11563,0.06742,0.1519,0.07692,0.125,0.21296,0.10345,0.20513,0.10893,0.08087,0.20997
13,0.26623,0.12338,0.18605,0,0.18605,0.26866,0.09091,0.34472,0.13522,0.07143,0.1519,0.07692,0.125,0.2205,0.10345,0.20611,0.13072,0.0843,0.24691
14,0.25373,0.08408,0.30435,0,0.2125,0.22581,0.17857,0.35799,0.13176,0.07664,0.12832,0.07692,0,0.22509,0.10345,0.19868,0.14323,0.09318,0.27526
15,0.28662,0.07362,0.19048,0,0.2,0.23529,0.17857,0.33708,0.12871,0.09205,0.17582,0.07692,0,0.23077,0.10345,0.18182,0.15224,0.10194,0.27526
16,0,0.06647,0.19048,0,0.2,0.23529,0.17857,0.33333,0.10833,0.10215,0.15758,0.08333,0,0.23276,0.10345,0.16667,0.15615,0.10179,0.29771
17,0,0.06647,0.18605,0,0.22727,0.36667,0,0.33553,0.11814,0.09091,0.15758,0.1,0,0.23148,0.10345,0.13462,0.16406,0.12154,0.29771
18,0,0.06481,0.18605,0,0.28571,0.40741,0,0.31418,0.11806,0.10625,0.15758,0.1,0,0.21721,0.10345,0.23077,0.19048,0.1195,0.28049
19,0,0.06195,0.18605,0,0.28571,0.40741,0,0.4,0.13386,0.08333,0.16883,0.1,0,0.21635,0.10345,0.19697,0.19689,0.12284,0.29596
20,0,0.0852,0.19048,0,0.32258,0.40741,0,0.4,0.15942,0.08333,0.22764,0.1,0,0.25333,0.10345,0.32075,0.35088,0,0.30303
21,0,0.08182,0.19048,0,0.38462,0.5,0,0.4,0,0.08696,0.22764,0.1,0,0.26115,0.10345,0.17647,0.2,0,0.43836
22,0,0.1092,0.19048,0,0.44444,0.57895,0,0.4,0,0.08696,0.2,0.1,0,0.37209,0.10345,0.15686,0.2,0,0.34513
