,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0.18251,0.07186,0.14505,0.10688,0.19039,0.17451,0.08321,0.20042,0.08472,0.11165,0.10173,0.1273,0.07159,0.16339,0.20385,0.15102,0.0526,0.02664,0.15226
1,0.18581,0.07751,0.15155,0.14907,0.19183,0.21023,0.08321,0.21028,0.09073,0.11083,0.10927,0.13528,0.07159,0.17516,0.21562,0.16294,0.05741,0.03874,0.16402
2,0.18854,0.08098,0.14988,0.19255,0.19308,0.18434,0.08321,0.21999,0.09778,0.11756,0.11773,0.14257,0.07353,0.19987,0.21564,0.18243,0.06339,0.04598,0.16841
3,0.2,0.07626,0.13992,0.17596,0.19716,0.19182,0.0781,0.25615,0.10256,0.11618,0.13589,0.14257,0.04281,0.21024,0.04065,0.20019,0.07085,0.05494,0.17375
4,0.25994,0.07673,0.14511,0.25406,0.22525,0.20875,0.07092,0.285,0.1098,0.09715,0.14286,0.14257,0.04281,0.20973,0.03369,0.20508,0.08186,0.06576,0.18015
5,0.22141,0.08463,0.13922,0.19805,0.22647,0.19308,0.05629,0.28652,0.108,0.0961,0.14916,0.11443,0.04416,0.22911,0.03221,0.22172,0.09049,0.07378,0.18155
6,0.22432,0.08793,0.10246,0.18821,0.2349,0.18852,0.04124,0.27146,0.10835,0.08346,0.15203,0.11443,0.01404,0.27394,0.03378,0.24873,0.10021,0.09165,0.18635
7,0.23725,0.09513,0.10395,0.02166,0.22496,0.20513,0.04124,0.30321,0.10605,0.08863,0.15169,0.11529,0.01404,0.21186,0.02759,0.2669,0.11713,0.10864,0.302
8,0.11304,0.09581,0.09957,0.02166,0.23507,0.17169,0.04124,0.02729,0.11685,0.04685,0.14861,0.11529,0.0,0.22989,0.02759,0.18435,0.17536,0.125,0.18914
9,0.0838,0.09664,0.08759,0.02166,0.22547,0.15904,0.04124,0.21658,0.03501,0.02911,0.14861,0.11529,0.0,0.20455,0.02759,0.26401,0.17816,0.14311,0.28571
10,0.07668,0.11491,0.08142,0.02166,0.02888,0.12603,0.04124,0.18342,0.02414,0.02911,0.14861,0.11529,0.0,0.10213,0.02759,0.23194,0.15385,0.16989,0.23154
11,0.04965,0.11707,0.08142,0.02166,0.02888,0.14566,,0.14179,0.02414,0.02911,0.14861,0.12539,0.0,0.10213,0.02443,0.28431,0.15063,0.18598,0.23913
12,0.04965,0.11,0.06593,0.02166,0.02888,0.15217,,0.14179,0.02414,0.02911,0.14861,0.12579,0.0,0.16896,0.02443,0.26966,0.13274,0.19291,0.18225
13,0.02174,0.13655,0.06593,0.02166,0.02888,0.10435,,0.14179,0.00873,0.02911,0.15972,0.12579,0.0,0.16896,0.02443,0.2561,0.13274,0.20561,0.1949
14,0.02174,0.12821,0.05625,0.02166,0.02888,0.08955,,0.12891,0.00873,0.03213,0.08264,0.12579,0.0,0.17108,0.02074,0.2561,0.12963,0.22621,0.1596
15,0.02174,0.12876,0.05625,0.02166,0.02888,0.06515,,0.07547,0.00873,0.04887,0.14141,0.11494,0.0,0.16598,0.02074,0.24437,0.07447,0.20669,0.0472
16,0.02174,0.12093,0.05625,0.02166,0.02888,0.06515,,0.07547,0.00873,0.04887,0.06452,0.11494,0.0,0.15446,0.02478,0.24437,0.07447,0.2536,0.0472
17,0.02174,0.10286,0.05625,0.02166,0.02888,0.06515,,0.07547,0.00873,0.04887,0.06452,0.04082,0.0,0.15446,0.02478,0.24437,0.07447,0.09195,0.0472
18,0.02174,0.07643,0.05625,0.02166,,0.06122,,0.00443,0.00873,0.04887,0.06452,0.04082,0.0,0.15484,0.02478,0.24437,0.07447,0.09195,0.0472
19,0.02174,0.07643,0.05625,0.02166,,0.04196,,0.00443,0.00873,0.04887,0.02564,0.04082,0.0,0.15484,0.02478,0.21769,0.07447,0.03209,0.0472
20,0.02174,0.07643,0.05316,0.02166,,0.05902,,0.00443,0.00873,0.04887,0.02564,,0.0,0.15484,0.01297,0.21769,0.07447,0.03209,0.0472
21,0.02174,0.07643,0.05316,0.02166,,0.05902,,0.00443,0.00873,0.02899,0.02564,,0.0,0.10864,0.01297,0.21769,0.07447,0.03209,0.0472
22,0.02174,0.07643,0.05316,0.02166,,0.05902,,0.00443,0.00873,0.06193,0.14286,,0.0,0.10864,0.01297,0.19048,0.07447,0.03209,0.04389
23,0.02174,0.07643,0.05316,0.02166,,0.05902,,0.00443,0.00873,0.06193,0.13821,,0.0,0.05744,0.01297,0.19048,0.07447,0.03209,0.04389
24,0.02174,0.07643,0.05316,0.02166,,0.05902,,0.00443,0.04428,0.06193,0.0885,,0.0,0.05744,0.01356,0.19048,0.07018,0.03209,0.04389
25,0.02174,0.07643,0.05316,0.02166,,0.05902,,0.00443,0.0452,0.06193,0.08072,,0.0,0.05744,0.01356,0.10213,0.07018,0.03209,0.04389
26,0.02174,0.07643,0.05316,0.02166,,0.05316,,0.00443,0.02151,0.06193,0.0724,,0.0,0.10407,0.01713,0.10213,0.07018,0.03209,0.04389
27,0.02174,0.07643,0.05316,0.02166,,0.05316,,0.00443,0.02151,0.06193,0.0724,,0.0,0.10407,0.01713,0.10213,0.07018,0.03209,0.04389
28,0.02174,0.02703,0.05316,0.02166,,0.09967,,0.00443,0.02151,0.06193,0.0724,,0.0,0.10407,0.01713,0.15261,0.07407,0.03209,0.04389
29,0.02174,0.02703,0.05316,0.02166,,0.09967,,0.00443,0.02151,0.06193,0.0724,,0.0,0.10407,0.01713,0.15261,0.07407,0.03209,0.04389
30,0.02174,0.02703,0.05316,0.02166,,0.09967,,0.00443,0.02151,0.00404,0.0724,,0.0,0.10407,0.01713,0.15261,0.07407,0.03209,0.04389
