,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0.65504,0.41406,0.27519,0.68605,0.42248,0.34496,0.06497,0.55916,0.2907,0.24186,0.46316,0.2,0.06202,0.44382,0.5406,0.56098,0.72308,0.82308,0.56842
1,0.63953,0.35938,0.27519,0.65116,0.4186,0.28682,0.06497,0.52668,0.26279,0.20698,0.46842,0.19474,0.06202,0.42978,0.52204,0.55122,0.70769,0.79231,0.54386
2,0.57364,0.33594,0.24806,0.5814,0.41085,0.28295,0.06497,0.53364,0.25581,0.1814,0.43684,0.18421,0.05814,0.4382,0.51508,0.53171,0.68462,0.73846,0.50877
3,0.57364,0.38281,0.19767,0.55039,0.4031,0.26357,0.05336,0.51972,0.22791,0.15116,0.41053,0.18421,0.02713,0.43258,0.0348,0.50732,0.66923,0.77692,0.4807
4,0.51938,0.35938,0.17829,0.5155,0.35271,0.24031,0.0464,0.529,0.21628,0.10698,0.34211,0.18421,0.02713,0.42978,0.02552,0.49268,0.62308,0.76154,0.44912
5,0.46899,0.29688,0.15891,0.47287,0.32171,0.20543,0.0348,0.471,0.18837,0.08605,0.37368,0.12105,0.02713,0.44663,0.0232,0.48293,0.6,0.71538,0.4386
6,0.41473,0.33594,0.0969,0.38372,0.27132,0.17829,0.0232,0.49884,0.17209,0.06512,0.30526,0.12105,0.00775,0.28933,0.0232,0.47805,0.55385,0.69231,0.40702
7,0.41473,0.32031,0.0969,0.01163,0.24806,0.21705,0.0232,0.4826,0.14884,0.06977,0.14211,0.12105,0.00775,0.21067,0.01856,0.36585,0.50769,0.67692,0.34386
8,0.10078,0.3125,0.08915,0.01163,0.23643,0.14341,0.0232,0.01624,0.13953,0.03023,0.12632,0.12105,0.0,0.25281,0.01856,0.25854,0.28462,0.65385,0.40351
9,0.05814,0.28125,0.06977,0.01163,0.2093,0.12791,0.0232,0.14849,0.0186,0.01628,0.12632,0.12105,0.0,0.17697,0.01856,0.3561,0.23846,0.62308,0.29825
10,0.04651,0.28906,0.06202,0.01163,0.0155,0.08915,0.0232,0.12065,0.01395,0.01628,0.12632,0.12105,0.0,0.06742,0.01856,0.29756,0.16154,0.60769,0.20351
11,0.02713,0.28125,0.06202,0.01163,0.0155,0.10078,,0.08817,0.01395,0.01628,0.12632,0.10526,0.0,0.06742,0.01624,0.28293,0.13846,0.53077,0.19298
12,0.02713,0.17188,0.04651,0.01163,0.0155,0.10853,,0.08817,0.01395,0.01628,0.12632,0.10526,0.0,0.12079,0.01624,0.23415,0.11538,0.52308,0.13333
13,0.01163,0.13281,0.04651,0.01163,0.0155,0.06977,,0.08817,0.00465,0.01628,0.12105,0.10526,0.0,0.12079,0.01624,0.20488,0.11538,0.50769,0.14737
14,0.01163,0.11719,0.03488,0.01163,0.0155,0.05814,,0.07657,0.00465,0.0186,0.05263,0.10526,0.0,0.11798,0.01624,0.20488,0.10769,0.48462,0.11228
15,0.01163,0.11719,0.03488,0.01163,0.0155,0.03876,,0.04176,0.00465,0.03023,0.14737,0.07895,0.0,0.11236,0.01624,0.18537,0.05385,0.26154,0.02807
16,0.01163,0.10156,0.03488,0.01163,0.0155,0.03876,,0.04176,0.00465,0.03023,0.04737,0.07895,0.0,0.10955,0.01624,0.18537,0.05385,0.33846,0.02807
17,0.01163,0.07031,0.03488,0.01163,0.0155,0.03876,,0.04176,0.00465,0.03023,0.04737,0.02632,0.0,0.10955,0.01624,0.18537,0.05385,0.06154,0.02807
18,0.01163,0.04688,0.03488,0.01163,,0.03488,,0.00232,0.00465,0.03023,0.04737,0.02632,0.0,0.10112,0.01624,0.18537,0.05385,0.06154,0.02807
19,0.01163,0.04688,0.03488,0.01163,,0.02326,,0.00232,0.00465,0.03023,0.01579,0.02632,0.0,0.10112,0.01624,0.1561,0.05385,0.02308,0.02807
20,0.01163,0.04688,0.03101,0.01163,,0.03488,,0.00232,0.00465,0.03023,0.01579,,0.0,0.10112,0.00928,0.1561,0.05385,0.02308,0.02807
21,0.01163,0.04688,0.03101,0.01163,,0.03488,,0.00232,0.00465,0.01628,0.01579,,0.0,0.0618,0.00928,0.1561,0.05385,0.02308,0.02807
22,0.01163,0.04688,0.03101,0.01163,,0.03488,,0.00232,0.00465,0.03953,0.09474,,0.0,0.0618,0.00928,0.12683,0.05385,0.02308,0.02456
23,0.01163,0.04688,0.03101,0.01163,,0.03488,,0.00232,0.00465,0.03953,0.08947,,0.0,0.0309,0.00928,0.12683,0.05385,0.02308,0.02456
24,0.01163,0.04688,0.03101,0.01163,,0.03488,,0.00232,0.02791,0.03953,0.05263,,0.0,0.0309,0.00928,0.12683,0.04615,0.02308,0.02456
25,0.01163,0.04688,0.03101,0.01163,,0.03488,,0.00232,0.02791,0.03953,0.04737,,0.0,0.0309,0.00928,0.05854,0.04615,0.02308,0.02456
26,0.01163,0.04688,0.03101,0.01163,,0.03101,,0.00232,0.01163,0.03953,0.04211,,0.0,0.06461,0.00928,0.05854,0.04615,0.02308,0.02456
27,0.01163,0.04688,0.03101,0.01163,,0.03101,,0.00232,0.01163,0.03953,0.04211,,0.0,0.06461,0.00928,0.05854,0.04615,0.02308,0.02456
28,0.01163,0.01562,0.03101,0.01163,,0.05814,,0.00232,0.01163,0.03953,0.04211,,0.0,0.06461,0.00928,0.09268,0.04615,0.02308,0.02456
29,0.01163,0.01562,0.03101,0.01163,,0.05814,,0.00232,0.01163,0.03953,0.04211,,0.0,0.06461,0.00928,0.09268,0.04615,0.02308,0.02456
30,0.01163,0.01562,0.03101,0.01163,,0.05814,,0.00232,0.01163,0.00233,0.04211,,0.0,0.06461,0.00928,0.09268,0.04615,0.02308,0.02456
31,0.01163,0.01562,0.03101,0.01163,,0.05814,,0.00232,0.01163,0.00233,0.04211,,0.0,0.06461,0.00928,0.09268,0.04615,0.02308,0.02456
32,0.01163,0.01562,0.03101,0.01163,,0.05814,,0.00232,0.01163,0.00233,0.04211,,0.0,0.04775,0.00928,0.09268,0.03077,0.02308,0.02456
33,0.01163,0.01562,0.03101,0.01163,,0.05814,,0.00232,0.01163,0.00233,0.04211,,0.0,0.04775,0.00928,0.09268,0.07692,0.02308,0.02456
34,0.01163,0.01562,0.03101,0.01163,,0.05814,,0.00232,0.01163,0.00233,0.04211,,0.0,0.04775,0.00928,0.09268,0.0,0.02308,0.02456
35,0.01163,0.01562,0.03101,0.01163,,0.05814,,0.00232,0.01628,0.00233,0.04211,,0.0,0.01124,0.00928,0.09268,0.0,0.02308,0.02456
36,0.01163,0.01562,0.03101,0.01163,,0.05814,,0.00232,0.01628,0.00233,0.04211,,0.0,0.01124,0.00928,0.09268,0.0,0.02308,0.02456
37,0.01163,0.01562,0.03101,0.01163,,0.03488,,0.00232,0.01628,0.00233,0.04211,,0.0,0.01124,0.00928,0.09268,0.0,0.02308,0.02456
38,0.01163,0.01562,0.03101,0.01163,,0.03488,,0.00232,0.01628,0.00233,0.04211,,0.0,0.01124,0.00928,0.09268,0.0,0.02308,0.02456
39,0.01163,0.01562,0.03101,0.01163,,0.03488,,0.00232,0.01628,0.00233,0.04211,,0.0,0.01124,0.00928,0.09268,0.0,0.02308,0.02456
40,0.01163,0.0,0.03101,0.01163,,0.03488,,0.00232,0.01628,0.00233,0.04211,,0.0,0.01124,0.00928,0.09268,0.0,0.02308,0.02456
41,0.01163,0.0,0.03101,0.01163,,0.03488,,0.00232,0.01628,0.00233,0.04211,,0.0,0.01124,0.00928,0.09268,0.0,0.02308,0.02456
42,0.01163,0.0,0.03101,0.01163,,0.03488,,0.00232,0.01628,0.00233,0.04211,,0.0,0.01124,0.00928,0.09268,0.0,0.02308,0.02456
