ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,TASK1367,GROUP16TH82.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1368,GROUP16TH83.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1369,GROUP16TH84.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1363,GROUP16TH78.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1364,GROUP16TH79.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1365,GROUP16TH80.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1366,GROUP16TH81.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1360,GROUP16TH75.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1361,GROUP16TH76.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1362,GROUP16TH77.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1356,GROUP16TH71.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1357,GROUP16TH72.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1358,GROUP16TH73.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1359,GROUP16TH74.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1352,GROUP16TH67.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1353,GROUP16TH68.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1354,GROUP16TH69.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1355,GROUP16TH70.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1350,GROUP16TH65.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1351,GROUP16TH66.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1349,GROUP16TH64.TEXT,0,0,0,1
