,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0.3876,0.26562,0.13178,0.54651,0.17829,0.1938,0.01856,0.36427,0.13488,0.06279,0.22632,0.06842,0.01938,0.25,0.35035,0.41951,0.54615,0.67692,0.29474
1,0.36822,0.21875,0.13953,0.47674,0.18217,0.12016,0.01856,0.33411,0.12093,0.06047,0.24737,0.06316,0.01938,0.22753,0.34339,0.41463,0.53846,0.61538,0.28421
2,0.34109,0.21094,0.13953,0.34884,0.17442,0.10465,0.01856,0.32715,0.1093,0.05581,0.23158,0.02632,0.01938,0.23596,0.33179,0.34634,0.53077,0.66154,0.27719
3,0.28682,0.21094,0.12016,0.23256,0.16279,0.06202,0.0116,0.29002,0.09302,0.04651,0.23158,0.02632,0.0,0.24157,0.00928,0.26829,0.5,0.63846,0.27719
4,0.25581,0.19531,0.0969,0.25581,0.13566,0.07752,0.0116,0.26682,0.0814,0.04419,0.2,0.02632,0.0,0.25843,0.00928,0.2878,0.46154,0.6,0.26316
5,0.21705,0.14844,0.07364,0.13178,0.13566,0.07364,0.00464,0.25522,0.08372,0.02326,0.16842,0.02105,0.0,0.24438,0.00928,0.26341,0.43077,0.54615,0.26316
6,0.18605,0.17188,0.03876,0.14729,0.13566,0.05426,0.0,0.28074,0.07442,0.00698,0.12105,0.02105,0.0,0.0927,0.00696,0.20976,0.41538,0.49231,0.27368
7,0.17829,0.17188,0.03101,0.0,0.12791,0.06977,0.0,0.21346,0.06744,0.02093,0.04211,0.02105,0.0,0.05618,0.00696,0.17073,0.36923,0.46923,0.12281
8,0.00775,0.11719,0.03101,0.0,0.10465,0.05426,0.0,0.00232,0.05581,0.0,0.04211,0.02105,0.0,0.07022,0.00696,0.10732,0.13077,0.46923,0.27018
9,0.00388,0.10938,0.0155,0.0,0.10078,0.02326,0.0,0.01856,0.0,0.0,0.04211,0.02105,0.0,0.05618,0.00696,0.10732,0.08462,0.45385,0.08421
10,0.00775,0.10938,0.0155,0.0,0.0,0.04264,0.0,0.01856,0.00233,0.0,0.04211,0.02105,0.0,0.0309,0.00696,0.06829,0.06923,0.4,0.07719
11,0.0,0.10156,0.0155,0.0,0.0,0.01938,,0.01856,0.00233,0.0,0.04211,0.01053,0.0,0.0309,0.00696,0.06341,0.03077,0.37692,0.0807
12,0.0,0.08594,0.0155,0.0,0.0,0.02713,,0.01856,0.00233,0.0,0.04211,0.01053,0.0,0.03371,0.00696,0.06341,0.03077,0.33846,0.03158
13,0.0,0.02344,0.0155,0.0,0.0,0.00775,,0.01856,0.0,0.0,0.03158,0.01053,0.0,0.03371,0.00696,0.0439,0.03077,0.30769,0.05263
14,0.0,0.05469,0.0,0.0,0.0,0.01163,,0.01856,0.0,0.00233,0.02105,0.01053,0.0,0.03371,0.00928,0.0439,0.03077,0.26923,0.05614
15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.01395,0.02632,0.01053,0.0,0.04775,0.00928,0.0439,0.03077,0.10769,0.01053
16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.01395,0.01579,0.01053,0.0,0.02247,0.00696,0.0439,0.03077,0.11538,0.01053
17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.01395,0.01579,0.0,0.0,0.02247,0.00696,0.0439,0.03077,0.0,0.01053
18,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.01395,0.01579,0.0,0.0,0.01685,0.00696,0.0439,0.03077,0.0,0.01053
19,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.01395,0.0,0.0,0.0,0.01685,0.00696,0.0439,0.03077,0.0,0.01053
20,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.01395,0.0,,0.0,0.01685,0.00928,0.0439,0.03077,0.0,0.01053
21,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.00928,0.0439,0.03077,0.0,0.01053
22,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0093,0.03158,,0.0,0.0,0.00928,0.0,0.03077,0.0,0.0
23,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0093,0.01053,,0.0,0.0,0.00928,0.0,0.03077,0.0,0.0
24,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0093,0.0093,0.01053,,0.0,0.0,0.00696,0.0,0.02308,0.0,0.0
25,0.0,0.0,0.0,0.0,,0.0,,0.0,0.01163,0.0093,0.01053,,0.0,0.0,0.00696,0.0,0.02308,0.0,0.0
26,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0093,0.0,,0.0,0.01685,0.0,0.0,0.02308,0.0,0.0
27,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0093,0.0,,0.0,0.01685,0.0,0.0,0.02308,0.0,0.0
28,0.0,0.0,0.0,0.0,,0.01163,,0.0,0.0,0.0093,0.0,,0.0,0.01685,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,,0.01163,,0.0,0.0,0.0093,0.0,,0.0,0.01685,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,,0.01163,,0.0,0.0,0.0,0.0,,0.0,0.01685,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,,0.01163,,0.0,0.0,0.0,0.0,,0.0,0.01685,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,,0.01163,,0.0,0.0,0.0,0.0,,0.0,0.01685,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,,0.01163,,0.0,0.0,0.0,0.0,,0.0,0.01685,0.0,0.0,0.0,0.0,0.0
