ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,TASK1367,GROUP15TH98.TXT,0.02927,0.12500,0.04743,1
ROUGE-1+StopWordRemoval,TASK1368,GROUP15TH99.TXT,0.02927,0.12500,0.04743,1
ROUGE-1+StopWordRemoval,TASK1369,GROUP16TH1.TXT,0.73846,0.02541,0.04913,1
ROUGE-1+StopWordRemoval,TASK1363,GROUP15TH94.TXT,0.02927,0.12500,0.04743,1
ROUGE-1+StopWordRemoval,TASK1364,GROUP15TH95.TXT,0.02927,0.12500,0.04743,1
ROUGE-1+StopWordRemoval,TASK1365,GROUP15TH96.TXT,0.02927,0.12500,0.04743,1
ROUGE-1+StopWordRemoval,TASK1366,GROUP15TH97.TXT,0.02927,0.12500,0.04743,1
ROUGE-1+StopWordRemoval,TASK1360,GROUP15TH91.TXT,0.02927,0.12500,0.04743,1
ROUGE-1+StopWordRemoval,TASK1361,GROUP15TH92.TXT,0.02927,0.12500,0.04743,1
ROUGE-1+StopWordRemoval,TASK1362,GROUP15TH93.TXT,0.02927,0.12500,0.04743,1
ROUGE-1+StopWordRemoval,TASK1356,GROUP15TH87.TXT,0.02927,0.12500,0.04743,1
ROUGE-1+StopWordRemoval,TASK1357,GROUP15TH88.TXT,0.02927,0.12500,0.04743,1
ROUGE-1+StopWordRemoval,TASK1358,GROUP15TH89.TXT,0.02927,0.12500,0.04743,1
ROUGE-1+StopWordRemoval,TASK1359,GROUP15TH90.TXT,0.02927,0.12500,0.04743,1
ROUGE-1+StopWordRemoval,TASK1352,GROUP15TH83.TXT,0.02927,0.12500,0.04743,1
ROUGE-1+StopWordRemoval,TASK1353,GROUP15TH84.TXT,0.02927,0.12500,0.04743,1
ROUGE-1+StopWordRemoval,TASK1354,GROUP15TH85.TXT,0.02927,0.12500,0.04743,1
ROUGE-1+StopWordRemoval,TASK1355,GROUP15TH86.TXT,0.02927,0.12500,0.04743,1
ROUGE-1+StopWordRemoval,TASK1350,GROUP15TH81.TXT,0.02927,0.12500,0.04743,1
ROUGE-1+StopWordRemoval,TASK1351,GROUP15TH82.TXT,0.02927,0.12500,0.04743,1
ROUGE-1+StopWordRemoval,TASK1349,GROUP15TH80.TXT,0.02927,0.12500,0.04743,1
ROUGE-1+StopWordRemoval,TASK1345,GROUP15TH76.TXT,0.06341,0.41935,0.11017,1
ROUGE-1+StopWordRemoval,TASK1346,GROUP15TH77.TXT,0.06341,0.41935,0.11017,1
ROUGE-1+StopWordRemoval,TASK1347,GROUP15TH78.TXT,0.06341,0.41935,0.11017,1
ROUGE-1+StopWordRemoval,TASK1348,GROUP15TH79.TXT,0.02927,0.12500,0.04743,1
ROUGE-1+StopWordRemoval,TASK1341,GROUP15TH72.TXT,0.06341,0.41935,0.11017,1
ROUGE-1+StopWordRemoval,TASK1342,GROUP15TH73.TXT,0.06341,0.41935,0.11017,1
ROUGE-1+StopWordRemoval,TASK1343,GROUP15TH74.TXT,0.06341,0.41935,0.11017,1
ROUGE-1+StopWordRemoval,TASK1344,GROUP15TH75.TXT,0.06341,0.41935,0.11017,1
ROUGE-1+StopWordRemoval,TASK1340,GROUP15TH71.TXT,0.06341,0.41935,0.11017,1
ROUGE-1+StopWordRemoval,TASK1338,GROUP15TH69.TXT,0.06341,0.41935,0.11017,1
ROUGE-1+StopWordRemoval,TASK1339,GROUP15TH70.TXT,0.06341,0.41935,0.11017,1
ROUGE-1+StopWordRemoval,TASK1334,GROUP15TH65.TXT,0.09268,0.43182,0.15261,1
ROUGE-1+StopWordRemoval,TASK1335,GROUP15TH66.TXT,0.09268,0.43182,0.15261,1
ROUGE-1+StopWordRemoval,TASK1336,GROUP15TH67.TXT,0.09268,0.43182,0.15261,1
ROUGE-1+StopWordRemoval,TASK1337,GROUP15TH68.TXT,0.09268,0.43182,0.15261,1
ROUGE-1+StopWordRemoval,TASK1330,GROUP15TH61.TXT,0.09268,0.43182,0.15261,1
ROUGE-1+StopWordRemoval,TASK1331,GROUP15TH62.TXT,0.09268,0.43182,0.15261,1
ROUGE-1+StopWordRemoval,TASK1332,GROUP15TH63.TXT,0.09268,0.43182,0.15261,1
ROUGE-1+StopWordRemoval,TASK1333,GROUP15TH64.TXT,0.09268,0.43182,0.15261,1
ROUGE-1+StopWordRemoval,TASK708,GROUP8TH86.TXT,0.00000,0.00000,0.00000,1
ROUGE-1+StopWordRemoval,TASK709,GROUP8TH87.TXT,0.00000,0.00000,0.00000,1
ROUGE-1+StopWordRemoval,TASK706,GROUP8TH84.TXT,0.00000,0.00000,0.00000,1
ROUGE-1+StopWordRemoval,TASK707,GROUP8TH85.TXT,0.00000,0.00000,0.00000,1
ROUGE-1+StopWordRemoval,TASK704,GROUP8TH82.TXT,0.00000,0.00000,0.00000,1
ROUGE-1+StopWordRemoval,TASK705,GROUP8TH83.TXT,0.00000,0.00000,0.00000,1
ROUGE-1+StopWordRemoval,TASK702,GROUP8TH80.TXT,0.00000,0.00000,0.00000,1
ROUGE-1+StopWordRemoval,TASK703,GROUP8TH81.TXT,0.00000,0.00000,0.00000,1
ROUGE-1+StopWordRemoval,TASK700,GROUP8TH78.TXT,0.00000,0.00000,0.00000,1
ROUGE-1+StopWordRemoval,TASK701,GROUP8TH79.TXT,0.00000,0.00000,0.00000,1
ROUGE-1+StopWordRemoval,TASK719,GROUP8TH97.TXT,0.00000,0.00000,0.00000,1
ROUGE-1+StopWordRemoval,TASK717,GROUP8TH95.TXT,0.00000,0.00000,0.00000,1
ROUGE-1+StopWordRemoval,TASK718,GROUP8TH96.TXT,0.00000,0.00000,0.00000,1
ROUGE-1+StopWordRemoval,TASK715,GROUP8TH93.TXT,0.00000,0.00000,0.00000,1
ROUGE-1+StopWordRemoval,TASK716,GROUP8TH94.TXT,0.00000,0.00000,0.00000,1
