,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0.15951,0.05613,0.14505,0.09606,0.19039,0.16455,0.0896,0.2059,0.07789,0.10266,0.09939,0.1273,0.07159,0.15237,0.18934,0.144,0.04913,0.0228,0.19042
1,0.16421,0.05984,0.14505,0.10432,0.19039,0.16455,0.0896,0.2059,0.07815,0.10266,0.09939,0.1273,0.07159,0.1537,0.20283,0.144,0.04913,0.02288,0.19042
2,0.181,0.06662,0.14505,0.11401,0.19039,0.16455,0.0896,0.21043,0.07947,0.10136,0.11143,0.13309,0.07159,0.15429,0.20116,0.14637,0.04913,0.02324,0.2026
3,0.18659,0.06693,0.14271,0.11659,0.19419,0.16455,0.0896,0.19144,0.08067,0.10094,0.11323,0.13309,0.07159,0.16176,0.19826,0.14406,0.04982,0.02468,0.21294
4,0.19228,0.0696,0.14271,0.14651,0.19567,0.16979,0.0896,0.20687,0.08192,0.10198,0.11734,0.13309,0.07159,0.15959,0.21543,0.15427,0.05026,0.02685,0.1537
5,0.20365,0.07101,0.14426,0.13289,0.19567,0.174,0.0896,0.22072,0.0832,0.0994,0.1168,0.13309,0.07159,0.16612,0.22017,0.16774,0.05216,0.02873,0.15795
6,0.21521,0.0684,0.1529,0.14524,0.20227,0.174,0.0896,0.22849,0.08311,0.09409,0.12632,0.13309,0.07159,0.15893,0.04138,0.16865,0.05401,0.03146,0.15802
7,0.22635,0.07124,0.14608,0.15441,0.20227,0.1791,0.0896,0.23389,0.08559,0.09919,0.13144,0.13309,0.07159,0.15858,0.0262,0.17369,0.05587,0.03374,0.16241
8,0.23475,0.07138,0.15128,0.15756,0.20227,0.18138,0.0896,0.22665,0.08352,0.09739,0.13355,0.13309,0.07159,0.16515,0.02605,0.18566,0.06114,0.03512,0.1641
9,0.24225,0.07275,0.1453,0.17021,0.20227,0.18997,0.0896,0.22985,0.08356,0.10128,0.13149,0.13383,0.06512,0.16842,0.02402,0.18393,0.07019,0.03724,0.16478
10,0.26145,0.07235,0.13793,0.18217,0.20652,0.18891,0.0896,0.21211,0.08583,0.08452,0.12998,0.12705,0.06512,0.17316,0.02606,0.178,0.07353,0.03941,0.16516
11,0.20904,0.07351,0.14726,0.19022,0.20971,0.18506,0.0896,0.20928,0.08871,0.09002,0.13711,0.10619,0.06512,0.17291,0.0268,0.1853,0.07576,0.04094,0.16225
12,0.20175,0.06435,0.14488,0.1994,0.20971,0.19388,0.0896,0.22077,0.08887,0.08975,0.13711,0.10643,0.06512,0.18742,0.0268,0.17654,0.08305,0.04413,0.16225
13,0.21473,0.07994,0.14153,0.20387,0.21296,0.1944,0.0896,0.22972,0.09205,0.09055,0.14211,0.10643,0.06512,0.17221,0.0268,0.18012,0.09016,0.04747,0.16714
