,threshold,accuracy,precision,recall,f1-score
0,0.01,0.43778579249679,0.43606946766935406,0.9074324324324324,0.5506660560203219
1,0.02,0.44205963593730013,0.4369630851348403,0.9062774312774312,0.5515469571596453
2,0.03,0.4590400756138182,0.4422408287093413,0.9034996534996534,0.5565099914961984
3,0.04,0.4683272222709564,0.44465792380817754,0.8917879417879417,0.5575616193018782
4,0.05,0.49049871769479614,0.4531662032853961,0.8887525899020152,0.5654484843158176
5,0.06,0.5185165639198034,0.4704724236436533,0.888134292077835,0.5801973798396199
6,0.07,0.5385445720330632,0.4812829969026602,0.8863734413370546,0.5894079953501811
7,0.08,0.5923055466840634,0.4977868504814589,0.8843058611682344,0.603243338403531
8,0.09,0.6317094497652895,0.5306636583310153,0.8789080702405623,0.6276762259275734
9,0.1,0.6582682986237973,0.5459576753251484,0.8676720434362756,0.6386128271101771
10,0.11,0.6878590446054215,0.5635577526182326,0.854735467473279,0.6492144853443523
11,0.12,0.7241646508743694,0.5730918689890503,0.8371676287811933,0.6508486890359946
12,0.13,0.7486325432957999,0.5906597488233122,0.827021274214357,0.6616015229536151
13,0.14,0.7661849039943669,0.6109166439529657,0.8112120738918289,0.6706988147465469
14,0.15,0.7866737920915243,0.6351665109952302,0.7906047660454812,0.6783488174968141
15,0.16,0.802398432658876,0.652245480302562,0.7755357843631666,0.685116322213517
16,0.17,0.8119825095336606,0.6691537614796993,0.7488322136923229,0.6859702650342503
17,0.18,0.8227669451731685,0.6905275006819561,0.7407139774076871,0.695681142048881
18,0.19,0.8307981703024327,0.6990194010518342,0.7131421811909753,0.6847811964445077
19,0.2,0.8385741943005369,0.722243523769995,0.7038274402771791,0.6918637992940521
20,0.21,0.8387248091178184,0.72847737767571,0.6781911468394435,0.6795288142015695
21,0.22,0.8405921069868214,0.7384940371160388,0.6622310107097985,0.6745655645823525
22,0.23,0.8349131441480121,0.7320958932759815,0.6266346457300709,0.6532344816289127
