,threshold,accuracy,precision,recall,f1-score
0,0.01,0.3393675173924901,0.2924418398724307,0.9900167389856261,0.4385624054301442
1,0.02,0.4898093947505495,0.34429917862975745,0.9716604903339598,0.4953075724589871
2,0.03,0.6416379169566413,0.4237862144415499,0.9200913265781657,0.5679375903869323
3,0.04,0.7498228477925889,0.5269590363217556,0.8584023351642844,0.6387889007430944
4,0.05,0.8206972653105914,0.6453340894194796,0.8008200537968043,0.7007710280641686
5,0.06,0.8498237388739366,0.7315195146191521,0.7310968769037033,0.7160285052602107
6,0.07,0.8585338762812831,0.8060013932698519,0.6767503821220701,0.7175847968737106
7,0.08,0.8645642619113365,0.8753358620399606,0.6210082346236441,0.7099745867809832
8,0.09,0.8596624548533256,0.9013232157508785,0.5828934335228932,0.6867375036503925
9,0.1,0.850416964929631,0.9190709216863008,0.5364358191985035,0.6544318697412975
10,0.11,0.8432497651198155,0.9376482505427529,0.5065059441703826,0.6305470302795246
11,0.12,0.8333894943011442,0.9429747807167831,0.4703169016440383,0.5972627724025477
12,0.13,0.8261465898676639,0.9504021244675577,0.4432978501926968,0.5728808215780691
13,0.14,0.8204560944655251,0.9639567856864732,0.4126667009567372,0.5469559944238909
14,0.15,0.8121666205254079,0.9673938942201571,0.37608069069885236,0.513053409932318
15,0.16,0.8055444586770049,0.9693599297102202,0.3522365411675257,0.48769620171059913
16,0.17,0.800320087481406,0.9817717755435956,0.333371637948963,0.46630480104026245
17,0.18,0.793888739017699,0.9820160417721393,0.30542649550786916,0.4383455123779743
18,0.19,0.7888325749295466,0.9864466712292799,0.2811779292509069,0.4120227873971719
19,0.2,0.785630536177116,0.9610861847703953,0.26643280624409316,0.39154015310266643
20,0.21,0.7815360374765692,0.9582324913460817,0.2510226645891211,0.37296350709331394
21,0.22,0.7780531558759721,0.9576713884406192,0.23360290037551268,0.3513948188059507
22,0.23,0.7739479078173717,0.9592174558967179,0.2188922970444983,0.33082351633833373
23,0.24,0.7709907215738381,0.9586958340804494,0.20985678323002538,0.3183050964517539
24,0.25,0.7667224850991132,0.9578515052199262,0.1930646824121922,0.29776033269508084
25,0.26,0.7643549945693139,0.9587211638935776,0.1845128707221702,0.2852584915172773
26,0.27,0.7611695947242888,0.932684599351266,0.17395763724752356,0.2701034908460069
27,0.28,0.7585196378242188,0.9031015281015282,0.16616701949753576,0.2570083977547911
28,0.29,0.7571194501967377,0.9027846336669867,0.16096634556436884,0.24867812163393097
29,0.3,0.7552388444342382,0.8801638176638176,0.1507441559520492,0.23368289452618754
30,0.31,0.7521280300893424,0.853988603988604,0.13761469770169169,0.21258166193138983
31,0.32,0.7510635755802076,0.8537943537943539,0.1341989460106437,0.2069308583638378
32,0.33,0.7492055965989665,0.8272792022792022,0.127704177487235,0.1962325792105226
33,0.34,0.7468166476725014,0.8392857142857144,0.11670763684484192,0.1817675682560015
34,0.35,0.7451957047337291,0.8168498168498168,0.10689487409155578,0.16612750990948444
35,0.36,0.7435524113517888,0.8162393162393163,0.10114990784592147,0.15635905397401895
36,0.37,0.742226462252775,0.7905982905982907,0.09605815050894925,0.14860418052906502
37,0.38,0.7408459147361852,0.7884615384615384,0.09086247716107416,0.1402779531863744
38,0.39,0.7399277450285106,0.7606837606837606,0.08704326747391099,0.13354080570180527
39,0.4,0.7391468332034616,0.7606837606837606,0.08390938808277901,0.1282184024203053
40,0.41,0.7383586860250213,0.735042735042735,0.08044215425284704,0.12307478037272176
41,0.42,0.7376066100467009,0.7094017094017093,0.07759202531576158,0.11795029133518926
42,0.43,0.7369544843945753,0.7094017094017093,0.07444241073687256,0.11311861996723824
43,0.44,0.7360833166672203,0.7094017094017093,0.07096116530115634,0.10757755620190035
44,0.45,0.7349755573241668,0.6324786324786325,0.06285607594606699,0.09346786500939448
45,0.46,0.7344083273233394,0.6324786324786325,0.05967849917927206,0.088300743212961
46,0.47,0.7336611611787338,0.5811965811965811,0.05702068961813376,0.08322690986696858
47,0.48,0.7327253508537451,0.5299145299145298,0.053829902676033346,0.07718398101296366
48,0.49,0.7320355433388618,0.5042735042735043,0.05075734193911568,0.07155249367547935
49,0.5,0.730826211360299,0.45299145299145294,0.04473530130169042,0.06085406703477821
50,0.51,0.7306935938893994,0.46153846153846156,0.04387104947590014,0.05921736708281427
51,0.52,0.7304269025418855,0.4358974358974359,0.04259999291638204,0.056754566725277074
52,0.53,0.7299206187022684,0.358974358974359,0.03972926886028598,0.051638621106485164
53,0.54,0.729675251657401,0.358974358974359,0.0388826688032055,0.05009437055059631
54,0.55,0.7295043114864608,0.3333333333333333,0.03841646833700504,0.0491786196348454
55,0.56,0.726815825178065,0.3333333333333333,0.020515209128013596,0.034837806067545905
56,0.57,0.7264679555325365,0.28205128205128205,0.018572260556719105,0.0311691797438436
57,0.58,0.7264366859890717,0.2564102564102564,0.018448986394983404,0.030923811077422307
58,0.59,0.7263848073729869,0.2564102564102564,0.018309177288596316,0.030650141247657484
59,0.6,0.7259963069844866,0.23076923076923078,0.016477675457094484,0.027231337828854063
60,0.61,0.7247074723623186,0.20512820512820512,0.0077255387049577325,0.014010234056569187
61,0.62,0.7245866342569843,0.15384615384615385,0.0073508969282541,0.013268885066836957
62,0.63,0.7245595295787169,0.15384615384615385,0.007262783438078755,0.013095646960883105
63,0.64,0.7241710291902165,0.15384615384615385,0.005913255772761615,0.010986644851880997
64,0.65,0.7237825288017161,0.15384615384615385,0.0045637281074444765,0.008666742531978676
65,0.66,0.7237306501856312,0.1282051282051282,0.004423919001057384,0.008389134661880522
66,0.67,0.723240801869696,0.07692307692307693,0.0026858909472398575,0.005059628347299581
67,0.68,0.723240801869696,0.07692307692307693,0.0026858909472398575,0.005059628347299581
68,0.69,0.7232136971914285,0.05128205128205128,0.0025977774570645116,0.004884004884004885
69,0.7,0.7232136971914285,0.05128205128205128,0.0025977774570645116,0.004884004884004885
70,0.71,0.7232136971914285,0.05128205128205128,0.0025977774570645116,0.004884004884004885
71,0.72,0.7232136971914285,0.05128205128205128,0.0025977774570645116,0.004884004884004885
72,0.73,0.7232136971914285,0.05128205128205128,0.0025977774570645116,0.004884004884004885
73,0.74,0.7232136971914285,0.05128205128205128,0.0025977774570645116,0.004884004884004885
74,0.75,0.7232136971914285,0.05128205128205128,0.0025977774570645116,0.004884004884004885
75,0.76,0.7232136971914285,0.05128205128205128,0.0025977774570645116,0.004884004884004885
76,0.77,0.7230461087885459,0.02564102564102564,0.0019723865877712033,0.0036630036630036634
77,0.78,0.7226576084000456,0.0,0.0,0.0
78,0.79,0.7226576084000456,0.0,0.0,0.0
79,0.8,0.7226576084000456,0.0,0.0,0.0
80,0.81,0.7226576084000456,0.0,0.0,0.0
81,0.82,0.7226576084000456,0.0,0.0,0.0
82,0.83,0.7226576084000456,0.0,0.0,0.0
83,0.84,0.7226576084000456,0.0,0.0,0.0
84,0.85,0.7226576084000456,0.0,0.0,0.0
85,0.86,0.7226576084000456,0.0,0.0,0.0
86,0.87,0.7226576084000456,0.0,0.0,0.0
87,0.88,0.7226576084000456,0.0,0.0,0.0
88,0.89,0.7226576084000456,0.0,0.0,0.0
89,0.9,0.7226576084000456,0.0,0.0,0.0
90,0.91,0.7226576084000456,0.0,0.0,0.0
91,0.92,0.7226576084000456,0.0,0.0,0.0
92,0.93,0.7226576084000456,0.0,0.0,0.0
93,0.94,0.7226576084000456,0.0,0.0,0.0
94,0.95,0.7226576084000456,0.0,0.0,0.0
95,0.96,0.7226576084000456,0.0,0.0,0.0
96,0.97,0.7226576084000456,0.0,0.0,0.0
97,0.98,0.7226576084000456,0.0,0.0,0.0
98,0.99,0.7226576084000456,0.0,0.0,0.0
