,group,day_number,source_file,reference_file,news_srouce,news_event,news_event_date,news_numer_in_day
0,0,0,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\brexit\20160602 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day0_Theguardian_brexit_84.txt,Theguardian,brexit,20160602,84
1,0,1,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\turkish\20160716 000002.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day1_Theguardian_turkish_15.txt,Theguardian,turkish,20160716,15
2,0,1,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\syria\20170405 000003.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day1_Theguardian_syria_45.txt,Theguardian,syria,20170405,45
3,0,1,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\syria\20170405 000002.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day1_Theguardian_syria_44.txt,Theguardian,syria,20170405,44
4,0,1,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\syria\20170405 000001.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day1_Theguardian_syria_43.txt,Theguardian,syria,20170405,43
5,0,1,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\syria\20170405 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day1_Theguardian_syria_42.txt,Theguardian,syria,20170405,42
6,0,1,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\syria\20170405 000003.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day1_NewYorkTimes_syria_26.txt,NewYorkTimes,syria,20170405,26
7,0,1,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\syria\20170405 000002.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day1_NewYorkTimes_syria_25.txt,NewYorkTimes,syria,20170405,25
8,0,1,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\syria\20170405 000001.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day1_NewYorkTimes_syria_24.txt,NewYorkTimes,syria,20170405,24
9,0,1,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\syria\20170405 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day1_NewYorkTimes_syria_23.txt,NewYorkTimes,syria,20170405,23
10,0,1,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\syria\20170405 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day1_CNN_syria_3.txt,CNN,syria,20170405,3
11,0,1,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\brexit\20160603 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day1_NewYorkTimes_brexit_45.txt,NewYorkTimes,brexit,20160603,45
12,0,1,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\sewol\20140417 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day1_NewYorkTimes_sewol_29.txt,NewYorkTimes,sewol,20140417,29
13,0,1,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\sewol\20140417 163500.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day1_CNN_sewol_3.txt,CNN,sewol,20140417,3
14,0,1,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\sewol\20140417 114700.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day1_CNN_sewol_2.txt,CNN,sewol,20140417,2
15,0,1,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\sewol\20140417 114500.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day1_CNN_sewol_1.txt,CNN,sewol,20140417,1
16,0,1,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\turkish\20160716 000001.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day1_Theguardian_turkish_14.txt,Theguardian,turkish,20160716,14
17,0,1,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\turkish\20160716 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day1_Theguardian_turkish_13.txt,Theguardian,turkish,20160716,13
83,0,3,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\brexit\20160605 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day3_Theguardian_brexit_85.txt,Theguardian,brexit,20160605,85
90,0,5,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\brexit\20160607 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day5_Theguardian_brexit_87.txt,Theguardian,brexit,20160607,87
93,0,7,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\brexit\20160609 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day7_Theguardian_brexit_88.txt,Theguardian,brexit,20160609,88
94,0,7,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\brexit\20160609 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day7_CNN_brexit_1.txt,CNN,brexit,20160609,1
95,0,8,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\brexit\20160610 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day8_NewYorkTimes_brexit_46.txt,NewYorkTimes,brexit,20160610,46
18,0,12,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\brexit\20160614 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day12_Theguardian_brexit_89.txt,Theguardian,brexit,20160614,89
19,0,12,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\brexit\20160614 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day12_NewYorkTimes_brexit_47.txt,NewYorkTimes,brexit,20160614,47
20,0,13,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\brexit\20160615 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day13_NewYorkTimes_brexit_48.txt,NewYorkTimes,brexit,20160615,48
21,0,16,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\brexit\20160618 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day16_Theguardian_brexit_90.txt,Theguardian,brexit,20160618,90
22,0,18,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\brexit\20160620 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day18_Theguardian_brexit_91.txt,Theguardian,brexit,20160620,91
23,0,21,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\brexit\20160623 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day21_Theguardian_brexit_93.txt,Theguardian,brexit,20160623,93
24,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\crimea\20140308 000003.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_Theguardian_crimea_192.txt,Theguardian,crimea,20140308,192
25,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\crimea\20140308 000002.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_Theguardian_crimea_191.txt,Theguardian,crimea,20140308,191
26,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\crimea\20140308 000001.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_Theguardian_crimea_190.txt,Theguardian,crimea,20140308,190
27,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\crimea\20140308 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_Theguardian_crimea_189.txt,Theguardian,crimea,20140308,189
28,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\brexit\20160624 000005.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_Theguardian_brexit_99.txt,Theguardian,brexit,20160624,99
29,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\brexit\20160624 000004.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_Theguardian_brexit_98.txt,Theguardian,brexit,20160624,98
30,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\brexit\20160624 000003.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_Theguardian_brexit_97.txt,Theguardian,brexit,20160624,97
31,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\brexit\20160624 000002.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_Theguardian_brexit_96.txt,Theguardian,brexit,20160624,96
32,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\brexit\20160624 000001.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_Theguardian_brexit_95.txt,Theguardian,brexit,20160624,95
33,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\brexit\20160624 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_Theguardian_brexit_94.txt,Theguardian,brexit,20160624,94
34,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\brexit\20160624 000007.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_Theguardian_brexit_101.txt,Theguardian,brexit,20160624,101
35,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\brexit\20160624 000006.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_Theguardian_brexit_100.txt,Theguardian,brexit,20160624,100
36,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\crimea\20140308 000001.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_NewYorkTimes_crimea_130.txt,NewYorkTimes,crimea,20140308,130
37,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\crimea\20140308 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_NewYorkTimes_crimea_129.txt,NewYorkTimes,crimea,20140308,129
38,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\brexit\20160624 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_NewYorkTimes_brexit_51.txt,NewYorkTimes,brexit,20160624,51
39,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\crimea\20140308 140600.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_CNN_crimea_63.txt,CNN,crimea,20140308,63
40,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\brexit\20160624 000006.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_CNN_brexit_9.txt,CNN,brexit,20160624,9
41,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\brexit\20160624 000005.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_CNN_brexit_8.txt,CNN,brexit,20160624,8
42,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\brexit\20160624 000004.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_CNN_brexit_7.txt,CNN,brexit,20160624,7
43,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\brexit\20160624 000003.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_CNN_brexit_6.txt,CNN,brexit,20160624,6
44,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\brexit\20160624 000002.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_CNN_brexit_5.txt,CNN,brexit,20160624,5
45,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\brexit\20160624 000001.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_CNN_brexit_4.txt,CNN,brexit,20160624,4
46,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\brexit\20160624 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_CNN_brexit_3.txt,CNN,brexit,20160624,3
47,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\brexit\20160624 000011.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_CNN_brexit_14.txt,CNN,brexit,20160624,14
48,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\brexit\20160624 000010.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_CNN_brexit_13.txt,CNN,brexit,20160624,13
49,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\brexit\20160624 000009.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_CNN_brexit_12.txt,CNN,brexit,20160624,12
50,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\brexit\20160624 000007.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_CNN_brexit_10.txt,CNN,brexit,20160624,10
51,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\brexit\20160624 000008.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_CNN_brexit_11.txt,CNN,brexit,20160624,11
52,0,22,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\brexit\20160624 000008.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day22_Theguardian_brexit_102.txt,Theguardian,brexit,20160624,102
53,0,23,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\hk\20141007 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day23_Theguardian_hk_66.txt,Theguardian,hk,20141007,66
54,0,23,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\brexit\20160625 000003.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day23_Theguardian_brexit_106.txt,Theguardian,brexit,20160625,106
55,0,23,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\brexit\20160625 000002.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day23_Theguardian_brexit_105.txt,Theguardian,brexit,20160625,105
56,0,23,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\brexit\20160625 000001.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day23_Theguardian_brexit_104.txt,Theguardian,brexit,20160625,104
57,0,23,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\brexit\20160625 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day23_Theguardian_brexit_103.txt,Theguardian,brexit,20160625,103
58,0,23,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\syria\20170427 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day23_NewYorkTimes_syria_37.txt,NewYorkTimes,syria,20170427,37
59,0,23,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\crimea\20140309 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day23_NewYorkTimes_crimea_131.txt,NewYorkTimes,crimea,20140309,131
60,0,23,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\catalan\20171001 000001.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day23_NewYorkTimes_catalan_41.txt,NewYorkTimes,catalan,20171001,41
61,0,23,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\catalan\20171001 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day23_NewYorkTimes_catalan_40.txt,NewYorkTimes,catalan,20171001,40
62,0,23,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\brexit\20160625 000003.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day23_NewYorkTimes_brexit_55.txt,NewYorkTimes,brexit,20160625,55
63,0,23,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\brexit\20160625 000002.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day23_NewYorkTimes_brexit_54.txt,NewYorkTimes,brexit,20160625,54
64,0,23,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\brexit\20160625 000001.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day23_NewYorkTimes_brexit_53.txt,NewYorkTimes,brexit,20160625,53
65,0,23,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\brexit\20160625 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day23_NewYorkTimes_brexit_52.txt,NewYorkTimes,brexit,20160625,52
66,0,23,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\hk\20141007 005900.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day23_CNN_hk_15.txt,CNN,hk,20141007,15
67,0,23,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\catalan\20171001 000001.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day23_CNN_catalan_5.txt,CNN,catalan,20171001,5
68,0,23,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\brexit\20160625 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day23_CNN_brexit_15.txt,CNN,brexit,20160625,15
69,0,23,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\catalan\20171001 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day23_CNN_catalan_4.txt,CNN,catalan,20171001,4
70,0,25,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\brexit\20160627 000002.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day25_Theguardian_brexit_111.txt,Theguardian,brexit,20160627,111
71,0,25,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\brexit\20160627 000001.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day25_Theguardian_brexit_110.txt,Theguardian,brexit,20160627,110
72,0,25,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\brexit\20160627 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day25_Theguardian_brexit_109.txt,Theguardian,brexit,20160627,109
73,0,25,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\brexit\20160627 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day25_NewYorkTimes_brexit_59.txt,NewYorkTimes,brexit,20160627,59
