ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries,GROUP,TH
ROUGE-L+StopWordRemoval,TASK1,GROUP0TH1.TXT,0.47436,0.07034,0.12252,1,0,1
ROUGE-1+StopWordRemoval,TASK1,GROUP0TH1.TXT,0.66279,0.09067,0.15951,1,0,1
ROUGE-2+StopWordRemoval,TASK1,GROUP0TH1.TXT,0.2,0.02624,0.0464,1,0,1
ROUGE-SU4+StopWordRemoval,TASK1,GROUP0TH1.TXT,0.24379,0.03104,0.05507,1,0,1
ROUGE-L+StopWordRemoval,TASK10,GROUP0TH10.TXT,0.33974,0.11398,0.17069,1,0,10
ROUGE-1+StopWordRemoval,TASK10,GROUP0TH10.TXT,0.4845,0.1615,0.24225,1,0,10
ROUGE-2+StopWordRemoval,TASK10,GROUP0TH10.TXT,0.125,0.04032,0.06098,1,0,10
ROUGE-SU4+StopWordRemoval,TASK10,GROUP0TH10.TXT,0.18794,0.05938,0.09025,1,0,10
ROUGE-L+StopWordRemoval,TASK11,GROUP0TH11.TXT,0.30769,0.12632,0.1791,1,0,11
ROUGE-1+StopWordRemoval,TASK11,GROUP0TH11.TXT,0.45349,0.18367,0.26145,1,0,11
ROUGE-2+StopWordRemoval,TASK11,GROUP0TH11.TXT,0.10833,0.04248,0.06103,1,0,11
ROUGE-SU4+StopWordRemoval,TASK11,GROUP0TH11.TXT,0.16933,0.06508,0.09402,1,0,11
ROUGE-L+StopWordRemoval,TASK12,GROUP0TH12.TXT,0.41667,0.09878,0.15971,1,0,12
ROUGE-1+StopWordRemoval,TASK12,GROUP0TH12.TXT,0.57364,0.12781,0.20904,1,0,12
ROUGE-2+StopWordRemoval,TASK12,GROUP0TH12.TXT,0.14583,0.03128,0.05151,1,0,12
ROUGE-SU4+StopWordRemoval,TASK12,GROUP0TH12.TXT,0.21365,0.04463,0.07384,1,0,12
ROUGE-L+StopWordRemoval,TASK13,GROUP0TH13.TXT,0.40385,0.09707,0.15652,1,0,13
ROUGE-1+StopWordRemoval,TASK13,GROUP0TH13.TXT,0.53488,0.12432,0.20175,1,0,13
ROUGE-2+StopWordRemoval,TASK13,GROUP0TH13.TXT,0.125,0.02796,0.0457,1,0,13
ROUGE-SU4+StopWordRemoval,TASK13,GROUP0TH13.TXT,0.19238,0.04189,0.0688,1,0,13
ROUGE-L+StopWordRemoval,TASK14,GROUP0TH14.TXT,0.41026,0.10475,0.16688,1,0,14
ROUGE-1+StopWordRemoval,TASK14,GROUP0TH14.TXT,0.53101,0.13458,0.21473,1,0,14
ROUGE-2+StopWordRemoval,TASK14,GROUP0TH14.TXT,0.13333,0.03249,0.05224,1,0,14
ROUGE-SU4+StopWordRemoval,TASK14,GROUP0TH14.TXT,0.1977,0.04685,0.07575,1,0,14
ROUGE-L+StopWordRemoval,TASK15,GROUP0TH15.TXT,0.28846,0.12821,0.17751,1,0,15
ROUGE-1+StopWordRemoval,TASK15,GROUP0TH15.TXT,0.34496,0.17181,0.22938,1,0,15
ROUGE-2+StopWordRemoval,TASK15,GROUP0TH15.TXT,0.0875,0.04217,0.05691,1,0,15
ROUGE-SU4+StopWordRemoval,TASK15,GROUP0TH15.TXT,0.12411,0.05858,0.07959,1,0,15
ROUGE-L+StopWordRemoval,TASK16,GROUP0TH16.TXT,0.29487,0.12169,0.17228,1,0,16
ROUGE-1+StopWordRemoval,TASK16,GROUP0TH16.TXT,0.42248,0.19464,0.2665,1,0,16
ROUGE-2+StopWordRemoval,TASK16,GROUP0TH16.TXT,0.10833,0.04815,0.06667,1,0,16
ROUGE-SU4+StopWordRemoval,TASK16,GROUP0TH16.TXT,0.14982,0.065,0.09067,1,0,16
ROUGE-L+StopWordRemoval,TASK17,GROUP0TH17.TXT,0.26923,0.12766,0.1732,1,0,17
ROUGE-1+StopWordRemoval,TASK17,GROUP0TH17.TXT,0.34496,0.18737,0.24284,1,0,17
ROUGE-2+StopWordRemoval,TASK17,GROUP0TH17.TXT,0.0875,0.04605,0.06034,1,0,17
ROUGE-SU4+StopWordRemoval,TASK17,GROUP0TH17.TXT,0.125,0.06453,0.08512,1,0,17
ROUGE-L+StopWordRemoval,TASK18,GROUP0TH18.TXT,0.24359,0.11912,0.16,1,0,18
ROUGE-1+StopWordRemoval,TASK18,GROUP0TH18.TXT,0.31395,0.1792,0.22817,1,0,18
ROUGE-2+StopWordRemoval,TASK18,GROUP0TH18.TXT,0.0875,0.04839,0.06231,1,0,18
ROUGE-SU4+StopWordRemoval,TASK18,GROUP0TH18.TXT,0.11791,0.06394,0.08292,1,0,18
ROUGE-L+StopWordRemoval,TASK19,GROUP0TH19.TXT,0.21154,0.09792,0.13387,1,0,19
ROUGE-1+StopWordRemoval,TASK19,GROUP0TH19.TXT,0.27519,0.14916,0.19346,1,0,19
ROUGE-2+StopWordRemoval,TASK19,GROUP0TH19.TXT,0.07917,0.04167,0.0546,1,0,19
ROUGE-SU4+StopWordRemoval,TASK19,GROUP0TH19.TXT,0.09663,0.04986,0.06578,1,0,19
ROUGE-L+StopWordRemoval,TASK2,GROUP0TH2.TXT,0.44231,0.07019,0.12116,1,0,2
ROUGE-1+StopWordRemoval,TASK2,GROUP0TH2.TXT,0.64729,0.09403,0.16421,1,0,2
ROUGE-2+StopWordRemoval,TASK2,GROUP0TH2.TXT,0.19167,0.02674,0.04694,1,0,2
ROUGE-SU4+StopWordRemoval,TASK2,GROUP0TH2.TXT,0.2367,0.03209,0.05652,1,0,2
ROUGE-L+StopWordRemoval,TASK20,GROUP0TH20.TXT,0.23077,0.10435,0.14371,1,0,20
ROUGE-1+StopWordRemoval,TASK20,GROUP0TH20.TXT,0.32946,0.16832,0.2228,1,0,20
ROUGE-2+StopWordRemoval,TASK20,GROUP0TH20.TXT,0.08333,0.04141,0.05533,1,0,20
ROUGE-SU4+StopWordRemoval,TASK20,GROUP0TH20.TXT,0.11791,0.0577,0.07748,1,0,20
ROUGE-L+StopWordRemoval,TASK21,GROUP0TH21.TXT,0.00641,0.5,0.01266,1,0,21
ROUGE-1+StopWordRemoval,TASK21,GROUP0TH21.TXT,0.01163,0.16667,0.02174,1,0,21
ROUGE-2+StopWordRemoval,TASK21,GROUP0TH21.TXT,0,0,0,1,0,21
ROUGE-SU4+StopWordRemoval,TASK21,GROUP0TH21.TXT,0.00266,0.16667,0.00524,1,0,21
ROUGE-L+StopWordRemoval,TASK22,GROUP0TH22.TXT,0.00641,0.5,0.01266,1,0,22
ROUGE-1+StopWordRemoval,TASK22,GROUP0TH22.TXT,0.01163,0.16667,0.02174,1,0,22
ROUGE-2+StopWordRemoval,TASK22,GROUP0TH22.TXT,0,0,0,1,0,22
ROUGE-SU4+StopWordRemoval,TASK22,GROUP0TH22.TXT,0.00266,0.16667,0.00524,1,0,22
ROUGE-L+StopWordRemoval,TASK23,GROUP0TH23.TXT,0.00641,0.5,0.01266,1,0,23
ROUGE-1+StopWordRemoval,TASK23,GROUP0TH23.TXT,0.01163,0.16667,0.02174,1,0,23
ROUGE-2+StopWordRemoval,TASK23,GROUP0TH23.TXT,0,0,0,1,0,23
ROUGE-SU4+StopWordRemoval,TASK23,GROUP0TH23.TXT,0.00266,0.16667,0.00524,1,0,23
ROUGE-L+StopWordRemoval,TASK24,GROUP0TH24.TXT,0.00641,0.5,0.01266,1,0,24
ROUGE-1+StopWordRemoval,TASK24,GROUP0TH24.TXT,0.01163,0.16667,0.02174,1,0,24
ROUGE-2+StopWordRemoval,TASK24,GROUP0TH24.TXT,0,0,0,1,0,24
ROUGE-SU4+StopWordRemoval,TASK24,GROUP0TH24.TXT,0.00266,0.16667,0.00524,1,0,24
ROUGE-L+StopWordRemoval,TASK25,GROUP0TH25.TXT,0.00641,0.5,0.01266,1,0,25
ROUGE-1+StopWordRemoval,TASK25,GROUP0TH25.TXT,0.01163,0.16667,0.02174,1,0,25
ROUGE-2+StopWordRemoval,TASK25,GROUP0TH25.TXT,0,0,0,1,0,25
ROUGE-SU4+StopWordRemoval,TASK25,GROUP0TH25.TXT,0.00266,0.16667,0.00524,1,0,25
ROUGE-L+StopWordRemoval,TASK26,GROUP0TH26.TXT,0.00641,0.5,0.01266,1,0,26
ROUGE-1+StopWordRemoval,TASK26,GROUP0TH26.TXT,0.01163,0.16667,0.02174,1,0,26
ROUGE-2+StopWordRemoval,TASK26,GROUP0TH26.TXT,0,0,0,1,0,26
ROUGE-SU4+StopWordRemoval,TASK26,GROUP0TH26.TXT,0.00266,0.16667,0.00524,1,0,26
ROUGE-L+StopWordRemoval,TASK27,GROUP0TH27.TXT,0.00641,0.5,0.01266,1,0,27
ROUGE-1+StopWordRemoval,TASK27,GROUP0TH27.TXT,0.01163,0.16667,0.02174,1,0,27
ROUGE-2+StopWordRemoval,TASK27,GROUP0TH27.TXT,0,0,0,1,0,27
ROUGE-SU4+StopWordRemoval,TASK27,GROUP0TH27.TXT,0.00266,0.16667,0.00524,1,0,27
ROUGE-L+StopWordRemoval,TASK28,GROUP0TH28.TXT,0.00641,0.5,0.01266,1,0,28
ROUGE-1+StopWordRemoval,TASK28,GROUP0TH28.TXT,0.01163,0.16667,0.02174,1,0,28
ROUGE-2+StopWordRemoval,TASK28,GROUP0TH28.TXT,0,0,0,1,0,28
ROUGE-SU4+StopWordRemoval,TASK28,GROUP0TH28.TXT,0.00266,0.16667,0.00524,1,0,28
ROUGE-L+StopWordRemoval,TASK29,GROUP0TH29.TXT,0.00641,0.5,0.01266,1,0,29
ROUGE-1+StopWordRemoval,TASK29,GROUP0TH29.TXT,0.01163,0.16667,0.02174,1,0,29
ROUGE-2+StopWordRemoval,TASK29,GROUP0TH29.TXT,0,0,0,1,0,29
ROUGE-SU4+StopWordRemoval,TASK29,GROUP0TH29.TXT,0.00266,0.16667,0.00524,1,0,29
