,GROUP1,GROUP2,GROUP3,GROUP4,GROUP5,GROUP6,GROUP7,GROUP8,GROUP9,GROUP10,GROUP11,GROUP12,GROUP13,GROUP14,GROUP15,GROUP16,GROUP17,GROUP18,GROUP19
0.01,0.47436,0.23158,0.21795,0.57692,0.35897,0.26923,0.07725,0.36052,0.3133,0.24034,0.41322,0.17355,0.07051,0.30901,0.3176,0.30435,0.6701,0.83505,0.37079
0.02,0.44231,0.23158,0.21795,0.55769,0.35897,0.26923,0.07725,0.36052,0.3176,0.24034,0.41322,0.17355,0.07051,0.3133,0.3176,0.30435,0.6701,0.83505,0.37079
0.03,0.45513,0.25263,0.21795,0.53846,0.35897,0.26923,0.07725,0.35622,0.30901,0.24464,0.41322,0.15702,0.07051,0.33047,0.3176,0.30435,0.6701,0.82474,0.35393
0.04,0.42949,0.26316,0.21154,0.5,0.34615,0.26923,0.07725,0.36052,0.29614,0.22318,0.38843,0.15702,0.07051,0.33476,0.30472,0.28986,0.6701,0.80412,0.37079
0.05,0.42949,0.28421,0.21154,0.48077,0.33974,0.26282,0.07725,0.36052,0.29614,0.22318,0.38017,0.15702,0.07051,0.29614,0.29614,0.31159,0.6701,0.80412,0.39326
0.06,0.4359,0.29474,0.21154,0.49359,0.33974,0.21154,0.07725,0.35622,0.28755,0.24034,0.3719,0.15702,0.07051,0.29185,0.30043,0.31159,0.6701,0.79381,0.37079
0.07,0.41667,0.29474,0.20513,0.47436,0.3141,0.21154,0.07725,0.3691,0.26609,0.18884,0.3719,0.15702,0.07051,0.2618,0.03433,0.30435,0.65979,0.76289,0.35393
0.08,0.37179,0.28421,0.19231,0.42949,0.3141,0.19872,0.07725,0.35193,0.26609,0.20172,0.36364,0.15702,0.07051,0.27468,0.01717,0.28261,0.64948,0.75258,0.34831
0.09,0.35897,0.28421,0.19231,0.41667,0.3141,0.1859,0.07725,0.33047,0.23605,0.19313,0.33884,0.15702,0.07051,0.26609,0.01717,0.25362,0.62887,0.73196,0.34831
0.1,0.33974,0.28421,0.1859,0.44231,0.3141,0.16667,0.07725,0.33906,0.23605,0.18884,0.33884,0.15702,0.05769,0.28755,0.01717,0.23913,0.63918,0.71134,0.34831
0.11,0.30769,0.26316,0.15385,0.42308,0.30128,0.14744,0.07725,0.33476,0.23605,0.16738,0.30579,0.1405,0.05769,0.28326,0.01717,0.25362,0.60825,0.71134,0.33146
0.12,0.41667,0.26316,0.15385,0.41026,0.30128,0.11538,0.07725,0.32189,0.24464,0.17167,0.30579,0.13223,0.05769,0.27039,0.01717,0.24638,0.58763,0.68041,0.31461
0.13,0.40385,0.24211,0.15385,0.38462,0.30128,0.11538,0.07725,0.30043,0.21888,0.17167,0.30579,0.13223,0.05769,0.29185,0.01717,0.23188,0.5567,0.68041,0.31461
