ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,GROUP,TH
ROUGE-L+StopWordRemoval,TASK1,GROUP0TH1.TXT,0.29487,0.12849,0.17899,0,1
ROUGE-1+StopWordRemoval,TASK1,GROUP0TH1.TXT,0.39147,0.18231,0.24877,0,1
ROUGE-2+StopWordRemoval,TASK1,GROUP0TH1.TXT,0.12083,0.05503,0.07562,0,1
ROUGE-SU4+StopWordRemoval,TASK1,GROUP0TH1.TXT,0.14096,0.0636,0.08765,0,1
ROUGE-L+StopWordRemoval,TASK2,GROUP0TH2.TXT,0.29487,0.13731,0.18737,0,2
ROUGE-1+StopWordRemoval,TASK2,GROUP0TH2.TXT,0.37209,0.18533,0.24742,0,2
ROUGE-2+StopWordRemoval,TASK2,GROUP0TH2.TXT,0.12083,0.05894,0.07923,0,2
ROUGE-SU4+StopWordRemoval,TASK2,GROUP0TH2.TXT,0.13741,0.06652,0.08965,0,2
ROUGE-L+StopWordRemoval,TASK3,GROUP0TH3.TXT,0.26923,0.14894,0.19178,0,3
ROUGE-1+StopWordRemoval,TASK3,GROUP0TH3.TXT,0.33721,0.20186,0.25254,0,3
ROUGE-2+StopWordRemoval,TASK3,GROUP0TH3.TXT,0.07917,0.04645,0.05855,0,3
ROUGE-SU4+StopWordRemoval,TASK3,GROUP0TH3.TXT,0.11791,0.06873,0.08684,0,3
ROUGE-L+StopWordRemoval,TASK4,GROUP0TH4.TXT,0.25,0.15476,0.19118,0,4
ROUGE-1+StopWordRemoval,TASK4,GROUP0TH4.TXT,0.32558,0.21649,0.26006,0,4
ROUGE-2+StopWordRemoval,TASK4,GROUP0TH4.TXT,0.07917,0.05163,0.0625,0,4
ROUGE-SU4+StopWordRemoval,TASK4,GROUP0TH4.TXT,0.11436,0.07414,0.08996,0,4
ROUGE-L+StopWordRemoval,TASK5,GROUP0TH5.TXT,0.25,0.16738,0.20051,0,5
ROUGE-1+StopWordRemoval,TASK5,GROUP0TH5.TXT,0.31395,0.22563,0.26256,0,5
ROUGE-2+StopWordRemoval,TASK5,GROUP0TH5.TXT,0.075,0.05279,0.06196,0,5
ROUGE-SU4+StopWordRemoval,TASK5,GROUP0TH5.TXT,0.10816,0.07554,0.08895,0,5
ROUGE-L+StopWordRemoval,TASK6,GROUP0TH6.TXT,0.21154,0.15865,0.18132,0,6
ROUGE-1+StopWordRemoval,TASK6,GROUP0TH6.TXT,0.25581,0.21086,0.23117,0,6
ROUGE-2+StopWordRemoval,TASK6,GROUP0TH6.TXT,0.05833,0.04714,0.05214,0,6
ROUGE-SU4+StopWordRemoval,TASK6,GROUP0TH6.TXT,0.08599,0.06904,0.07659,0,6
ROUGE-L+StopWordRemoval,TASK7,GROUP0TH7.TXT,0.16667,0.15663,0.16149,0,7
ROUGE-1+StopWordRemoval,TASK7,GROUP0TH7.TXT,0.22868,0.236,0.23228,0,7
ROUGE-2+StopWordRemoval,TASK7,GROUP0TH7.TXT,0.05,0.05063,0.05031,0,7
ROUGE-SU4+StopWordRemoval,TASK7,GROUP0TH7.TXT,0.07624,0.07679,0.07651,0,7
ROUGE-L+StopWordRemoval,TASK8,GROUP0TH8.TXT,0.16667,0.16352,0.16508,0,8
ROUGE-1+StopWordRemoval,TASK8,GROUP0TH8.TXT,0.21705,0.24454,0.22998,0,8
ROUGE-2+StopWordRemoval,TASK8,GROUP0TH8.TXT,0.05,0.0553,0.05252,0,8
ROUGE-SU4+StopWordRemoval,TASK8,GROUP0TH8.TXT,0.07447,0.08195,0.07803,0,8
ROUGE-L+StopWordRemoval,TASK9,GROUP0TH9.TXT,0.14744,0.14198,0.14465,0,9
ROUGE-1+StopWordRemoval,TASK9,GROUP0TH9.TXT,0.21705,0.24348,0.22951,0,9
ROUGE-2+StopWordRemoval,TASK9,GROUP0TH9.TXT,0.05417,0.05909,0.05652,0,9
ROUGE-SU4+StopWordRemoval,TASK9,GROUP0TH9.TXT,0.07535,0.08095,0.07805,0,9
